Genome_ID	SRR13068812	SRR13068813	SRR13068814	SRR13068815	SRR13068816	SRR13068817	SRR13068818	SRR13068819	SRR13068820	SRR13068821	SRR13068822	SRR13068823	SRR13068824	SRR13068825	SRR13068826	SRR13068827	SRR13068828	SRR13068829	SRR13068830	SRR13068831	SRR13068832	SRR13068833	SRR13068834	SRR13068835	SRR13068836	SRR13068837	SRR13068838	SRR13068839	SRR13068840	SRR13068841	SRR13068842	SRR13068843	SRR13068844	SRR13068845	SRR13068846	SRR13068847	SRR13068848	SRR13068849	SRR13068850	SRR13068851	SRR13068852	SRR13068853
BGC0001055	0.299504867	0.648154703	0.091516428	0.011686777	8.65E-10	0.005438803	0.007391473	0.081038484	4.38E-09	0.022526382	0.097331606	0.040966373	0.199651538	0.426247586	0.024123334	0.001192087	0.088292016	0.000538703	0.183716464	0.029378488	0.018293763	0.288722196		0.363161512	0.09914791	0.014078718	0.003856909	0.027203582	0.002373321	2.35E-08	0.098026085	0.000778344	0.02639437	0.017851003	0.004475155	0.090021631	0.110353197	0.101335976	0.106356649	0.027823909		0.085294521
BGC0000568	0.208117284	0.007166573	0.002805971				0.000790643						0.017598611	1.28E-29	0.005340985		0.035254746				5.60E-30	0.005021263		0.036933898	0.000824123	2.28E-05							3.43E-07	1.03E-07								
BGC0000087	0.144572142	0.001763855		0.113255681	0.006489159	0.000962892	0.00476542	0.022102354		0.00951052	0.013297767		0.038032938	0.01232988	0.005610538		0.035865792		0.015275774			0.022660106		0.055657428	0.007844862	0.000103429	0.004439295	1.03E-26			0.001394373		0.004686869	0.001366357			0.010079886	0.016934792	0.012945627	0.002652765		0.002951191
BGC0001555	0.143469395	0.186171972	0.014147292	0.014006897	0.020720853	0.01462819	0.000224292	0.2920351	0.006598357	0.019725084	0.745140686	0.011810915	0.089563971	0.204518572	0.074070238	0.000968965	0.057582901	0.000918209	0.268763123	0.006375134	0.243096887	0.23524206	6.50E-07	0.07213308	0.079500636	0.050465515	0.000842271	0.186499889	0.029349573	1.97E-05	0.33724997	0.016629784	0.165471407	0.00612099	0.039344322	0.435326761	0.601901617	0.145191611	0.239891363	0.063686017	0.011366622	0.081120118
BGC0000776	0.126474751	0.09469432		0.001920901				0.005516916		0.00013742	0.005395388	0.015281202	0.074525883	0.053301108	0.006952446		0.022188335		0.003828435	0.003470046	0.002217257	0.040446013		0.021956344	0.043538858	0.014995528		0.012277455	0.001135835	8.15E-06	0.033140193	0.000297588	0.01029084	0.002134212	0.007422161	0.004684625	0.013613467	0.024548736	0.029607428	0.002230528		0.010405581
BGC0001654	0.017159297	0.000347973	0.005296766	0.015258089	0.0111369	0.041949147	0.005915398	0.056547215	0.043685986	3.69E-05	0.098842081	0.213249282	0.145356031	0.00125274	0.000883223	0.005462106	0.014315795	0.000650934	0.002102918	0.106782873	0.000127016	0.010939294	0.007599188	0.002008068	0.001404771	0.003425651	0.049454493	0.01028297	3.65E-06	0.000664144	0.004339099	9.25E-06	0.023265579	0.002458449	0.003186368		0.027405724	0.001978262	0.007438555	0.004616541	0.134108195	0.004323946
BGC0000799	0.01541787	0.008443574	3.19E-06	2.44E-09	0.003981066	4.04E-06	4.67E-05	1.63E-06		0.00292339	0.001516213	8.44E-05	0.000450548	0.008073284	0.042565044	1.08E-07	0.001986099	0.000767039	0.147930417	2.60E-07	0.006047068	0.000924636	8.80E-05	0.009888798	0.007179298	0.002453051		0.0222154	0.002135252	0.000752824	0.006697092	0.000596853	0.072912964	0.0010317	0.025686887	0.012283558	0.022960879	0.001394604	0.00513202	0.003051008		0.018126234
BGC0001575	0.010900409	0.007017055	0.836347497	0.701678355	0.83563613	0.895768885	0.897707827	0.476224926	0.418845498	0.933425906	0.010269714	0.673983069	0.424118848	0.275069277	0.579208917	0.978521114	0.719350481	0.948977512	0.142204261	0.759155213	0.628213753	0.232496785	0.978548082	0.416776441	0.748545874	0.883123818	0.873824004	0.369164416	0.70215786	0.53228631	0.132248154	0.643522583	0.594939306	0.942271745	0.864344022	0.295397636	0.118599536	0.610657485	0.484105219	0.88138618	0.852771968	0.58436114
BGC0000587	0.008759449	4.25E-08					0.001911893						7.53E-11	0.002495365	0.001445947		0.002424508		2.91E-12		2.08E-08	0.00191377		0.007645403	0.000330195			0.006653651	0.000701558		0.001571297	0.000374323			4.28E-08	2.38E-06	0.003509121	7.84E-09	0.000985586	4.82E-06		
BGC0000588	0.007006287	0.000909238	2.18E-05			0.000205071		0.000977612			3.87E-12		4.74E-05	2.15E-05	4.91E-06		0.000672732		0.005191018		0.000418978	0.002503928		4.65E-05	1.79E-06	5.01E-11		1.66E-31			0.000436212	1.27E-06	0.000406264	1.50E-05		2.88E-07	0.00583996	2.69E-26	1.27E-07	0.003874359		5.09E-05
