Genome_ID	SRR5930493	SRR5930494	SRR5930495	SRR5930497	SRR5930498	SRR5930499	SRR5930501	SRR5930502	SRR5930503	SRR5930504	SRR5930505	SRR5930506	SRR5930507	SRR5930508	SRR5930509	SRR5930510	SRR5930511	SRR5930512	SRR5930513	SRR5930514	SRR5930515	SRR5930516	SRR5930517	SRR5930518	SRR5930519	SRR5930520	SRR5930521	SRR5930522	SRR5930523	SRR5930526	SRR5930527	SRR5930528	SRR5930529	SRR5930530	SRR5930531	SRR5930532	SRR5930533	SRR5930534	SRR5930536
BGC0000730	0.850753243	5.99E-06	1.21E-26		0.000242066	6.28E-05		6.90E-05	1.02E-13	4.17E-05	1.40E-13		0.00028803	0.002910258	8.28E-06	0.01112796	1.03E-07	0.004562509	2.41E-06	0.003972458	1.06E-06	0.007917938	5.65E-05	0.000828639	0.000686464	0.005231762	1.46E-06	0.000873883	0.051082364	0.000213072		1.45E-05		9.81E-14		1.17E-27	0.136249942	0.001828644	
BGC0001575	0.067978678	0.13685	0.006320249	0.909728696	0.540395595	0.001314418	0.134143452	0.711688103	0.642868794	0.507044458	0.829524249	0.302478181	0.654428704	0.189005972	0.025527775	0.036628607	0.841532977	0.547662247	0.220653939	0.037332967	0.187395968	0.384395242	0.000539702	0.678469646	0.212742321	0.395632908	0.381966548	0.055582602	0.000632468	0.754473515	0.660482418	0.405043285	0.869829628	0.208298798	0.794698137	0.534555128	0.322464211	0.685864822	0.979165317
BGC0001555	0.0314733	0.042292293	0.000524639	0.009932637	0.037235364	0.032834071	0.053697256	0.132411324	0.004518529	3.03E-05	4.65E-06	0.062248171	0.039054728	0.038839466	0.174060995	0.005635382	0.0291091	0.005528666	0.010237107	0.338231376	0.106301891	0.147233402	0.139406153	0.012506407	0.000100025	0.04798421	0.001575788	0.07082391	0.518918978	0.031442628	1.61E-25	0.041077966	0.015595407	0.226454093	0.001266198	0.00043948	0.162441876	0.113856922	0.001848064
BGC0001055	0.019361553	0.17240331	0.002129407	0.016493506	0.111475851	0.242870936	0.19070587	0.128137999	0.001502418	0.000140306	0.001080979	0.23206149	0.117880946	0.520551943	0.021347401	0.204978656	0.046609425	0.000115903	0.028575505	0.344193835	0.233592191	0.193910185	0.345353344	0.003742867	0.000200657	0.089762102	0.002276864	0.238792335	0.070634105	0.00552415		0.014588409	0.061764932	0.383371258	0.000288946	0.000412812	0.036129165	0.029158687	0.000833874
BGC0000799	0.00763258	0.003150587	1.99E-06	0.000385925	0.002314197	0.004136625	0.00735812	0.002551065	0.000945594	0.000108231	6.21E-05	0.004346177	0.001460513	0.017299281	0.010956329	0.00047318	0.00169015	1.42E-05	1.74E-05	0.006866058	0.002311116	0.008319826	0.005089537	0.006223537	1.83E-05	0.003411904	1.43E-05	0.00967445	0.20652159	0.003959882		9.78E-08	0.002019127	0.006652881	0.000173287	6.76E-05	0.000427163	0.001489549	0.000236102
BGC0000731	0.00718427					6.28E-05																																	
BGC0000776	0.004050196	0.076073075	0.002169925	0.004670216	0.050562777	0.10680909	0.057472912	0.012473661	0.000454481	9.98E-06	5.53E-06	0.021782735	0.010644711	0.071075753	0.001995567	0.001125869	0.003438881	0.000101012	0.009389578	0.015581887	0.062641872	0.021381494	0.088920022	0.001694505	2.40E-08	0.000150701	0.000255824	0.091626137	0.053033969	0.001934436		0.000540088	0.002720857	0.037966023	0.000272444	6.45E-05	0.010398616	0.000781773	0.000175838
BGC0001325	0.002979932	0.002373163	0.008116108	0.007114935	0.000779989	0.001003946	0.002714578	0.000268387	0.001373659	0.000478242	0.001589785	0.00698839	0.005381856	0.002979869	0.009884877	0.011316271	0.010347079	0.006492204	0.009214449	0.002234645	0.000869097	0.00198861	1.14E-26	0.024303777	4.33E-05	0.001297204	0.035298015	3.82E-07	0.011906261	0.022578496	0.000450266	0.000696198	0.000565993	0.000325595	0.009115108	0.017477436	0.001706399	0.001766129	0.002667907
BGC0000230	0.002190523	0.000693565		0.000145917	0.000565079	0.001334163	0.001295735	0.000750024	2.94E-26			0.001016507	0.000480291	0.004578074	0.004948982	9.14E-10	0.000133641	1.90E-08	0.000364276	0.001322215	0.000999496	0.005797631	0.001504408	0.000342655	3.31E-10	1.38E-10		0.001979678	0.006264167	0.000171488		0.000135568	0.000517856	0.001158814	2.74E-25	1.21E-07	3.99E-08	4.38E-09	1.89E-07
BGC0001816	0.001512204	2.23E-26		2.19E-06	0.000243081	1.97E-10	4.92E-09		3.34E-09		0.000164385	0.000484341	2.32E-05	0.000280639	5.19E-08	0.000112378	0.013395698	4.59E-09	0.006469885	2.89E-07	0.032718121	0.002884239	0.043595168	2.41E-30	1.98E-09	0.000527854	0.000257425	4.27E-06		2.46E-27	0.000266381	1.41E-06	1.00E-07	0.083707353	4.27E-10	5.19E-11	0.003628927	4.44E-27	
