Genome_ID	ERR2162200	ERR2162201	ERR2162202	ERR2162203	ERR2162204	ERR2162205	ERR2162206	ERR2162207	ERR2162208	ERR2162209	ERR2162210	ERR2162211	ERR2162212	ERR2162213	ERR2162214	ERR2162215	ERR2162216	ERR2162217	ERR2162218	ERR2162219	ERR2162220	ERR2162221	ERR2162222	ERR2162223	ERR2162224
BGC0001575	0.550984155	0.212886969	0.003627285	0.350812276	0.039864706	0.017398783	0.02314145	0.063887889	0.056607557	0.065807148	0.011337288	0.080484554	0.15643004	0.440214342	0.984109179	0.610206727	6.18E-13	0.552936744	0.152522845	0.068893157	0.28872264	0.716837549	0.16409539	0.002263608	0.480379822
BGC0001654	0.234250538	0.031594421	0.134248602	0.375994035	0.109974681	0.447111607		0.660728323	0.660908544	0.868689868		0.039225832	0.058211425	0.42938154	0.000771085	0.244493596		0.444957523	0.538943307	0.293468827	0.305933271	0.079414676		0.379361655	0.003804029
BGC0001555	0.058082728	0.03711587	0.663457004	0.059209981	0.201008537	0.000161005	0.317675059	0.002076636	0.004561363	0.032252535	0.170226321	4.60E-06	0.023553614	0.003432601	2.03E-06	0.001074956	0.51225444	2.14E-10	0.024729586	0.000194251	0.003186886	0.037888606	0.001071829	0.353283611	2.70E-05
BGC0000730	0.037121702		2.33E-13	7.42E-10	0.001865851		0.000264242	0.001259734	0.000396439	0.000435985	0.032519933	0.012515408					0.014236671		0.000288814	0.000304207			9.09E-06	0.010472198	0.121183189
BGC0001055	0.034421833	0.000712529	0.129273726	0.009999943	0.361865712	3.62E-06	0.457048825	0.012695262	0.009181398	0.007112851	0.500765175	0.12501564	0.061337317	0.003122708	0.003116714	0.104067837	0.171456594		0.00842692	0.003155172	0.003253379	0.077872953	0.000299121	0.03987809	0.001647884
BGC0000568	0.032934597										0.001067023											0.027947821			
BGC0000799	0.025347365	0.004635134	0.017279965	0.01493087	0.033149186	2.58E-07	0.031062883	0.000315555	8.87E-05	0.013797317	0.035499219		0.006096623		1.77E-05	0.000128076	0.080162256	1.13E-07	2.35E-05	3.51E-05	0.001069614	0.00048853	1.46E-05	0.123610527	5.13E-07
BGC0000776	0.013239983	0.005806658	0.01931424	0.021014516	0.01751788		0.054599534	0.003050322	0.000635038	0.003880636	0.04993456		0.018526777		0.010720354	0.034313723	0.07736956	1.88E-05	0.002708343	0.000112945		0.002274949	1.67E-05	0.034009468	
BGC0001601	0.003236838										1.86E-15														
BGC0001209	0.003236838		0.000116149			8.32E-05	0.000396026			3.91E-05	0.000202583	1.71E-25	0.000472312	0.006245417			0.022018851		0.001318188			0.012953736	0.000246601	0.003910362	
BGC0000230	0.003236838	0.001224022	0.001618259		0.00519273		0.005433961			0.001148776	0.004107991	7.07E-09	0.002281154			0.002441779	0.009941498						1.78E-25	0.003547896	1.45E-09
BGC0000803	0.001729119	0.004582636																				7.52E-05			
BGC0000413	0.001209773	0.001778593	0.000468702	7.87E-05	0.003970329	3.61E-06	0.000988195	6.48E-05	4.89E-06	0.000101738	0.00148106	0.000821421	0.000737433	2.18E-05	0.000148901	0.000112705	0.001723523	9.96E-06	1.52E-05	4.68E-05	0.000168782	0.000346541	0.000113338	0.0005605	0.010523065
BGC0000526	0.000383591	0.000104347	7.14E-08	0.016170606	1.59E-06	0.000344503	0.000557355	7.92E-08	4.06E-07	0.000279288	0.000227203	0.002526176	4.11E-08	0.00528964	0.000957664	0.000125232	0.014569964	0.000447567	2.87E-05	2.17E-05		0.032479794	5.39E-10	4.54E-08	
BGC0001411	0.000272355	0.217064205	0.000662355	0.053295263	0.002243041	0.326832844	4.51E-15	0.017078097	0.095756273	3.88E-12	0.042604613	0.333856425	0.29964395	1.06E-10	2.20E-12		3.34E-11	4.69E-15	0.071684957	0.184868125	0.112474129	2.73E-08	0.125229437	0.009821572	1.53E-14
BGC0001060	0.000220726	0.000483095	2.28E-05	0.000483394	9.85E-05	2.01E-05	4.34E-05	5.96E-05	2.04E-06	3.92E-06	1.85E-05	2.89E-05	1.33E-05	3.26E-05	4.95E-05	4.81E-05	8.73E-11	4.45E-06	1.76E-05	9.54E-05	2.03E-05	0.00126281	8.73E-05	2.11E-05	0.000241931
BGC0000810	8.58E-05	7.29E-07		6.51E-05							6.28E-07			2.69E-06						1.05E-13	8.03E-26				
BGC0000773	4.34E-06		2.57E-05		2.13E-10		0.005538528		1.28E-29	6.23E-06	1.86E-05		0.000435858				0.001746186			4.09E-30				0.000396558	
BGC0000789	5.97E-07		4.96E-06	1.01E-11	2.63E-06		4.19E-05		7.71E-31	8.27E-07	1.05E-05	2.12E-14	1.85E-07				9.27E-06			1.08E-10		2.76E-28		1.79E-05	3.11E-08
BGC0000547	2.66E-07	0.104729085	7.00E-05	0.001107748	1.56E-28	1.21E-07	3.59E-08	0.000970704	1.19E-07	1.18E-05	0.000476725	0.000561559	4.45E-08	1.99E-08	1.68E-09		5.88E-06	8.90E-09	2.92E-06	0.001199864	1.41E-10	1.45E-06	9.59E-05	0.003855658	9.79E-09
BGC0001410	1.11E-08	0.067251875	0.000295092	0.016929891	1.35E-05	0.076056609	1.73E-09	0.006426409	0.030702725	5.35E-08	0.026432532	0.047919284	0.189355093	7.02E-05	5.36E-08		2.45E-06	4.68E-09	0.029757062	0.111796398	0.070904113	8.39E-09	0.364885393	0.00695271	1.37E-08
BGC0000297	1.71E-09	2.37E-05	3.02E-09	1.43E-07	3.99E-06	4.27E-09	6.92E-10	8.05E-07	2.67E-10	8.95E-11	1.72E-07	2.36E-09	8.41E-08	8.35E-08	4.58E-09		1.57E-08	1.29E-09	8.98E-10	2.93E-08	1.01E-07	6.09E-06	6.04E-09	1.68E-07	2.13E-07
BGC0000954	1.57E-09	1.22E-08	7.80E-09	2.09E-08	9.79E-10	1.82E-09	3.19E-10	4.37E-07	4.72E-08	1.62E-09	6.13E-08	2.70E-10	1.26E-09	2.10E-08	1.32E-07		1.07E-10	6.19E-10	3.20E-08	2.89E-08	1.53E-07	2.77E-08	1.99E-09	1.09E-11	5.28E-08
BGC0000136	8.20E-11	2.84E-29	1.15E-17	3.05E-13		1.61E-14			2.05E-30		1.50E-17	1.58E-31	3.06E-13	6.55E-14			7.64E-13	5.05E-15		6.24E-30	3.59E-17	1.34E-10	1.27E-28	1.03E-30	
BGC0001816	5.00E-11		0.026434197	0.009177852	7.90E-11		0.000328938			3.76E-05	8.20E-08	4.84E-14	5.81E-11	1.31E-30			8.65E-30		0.002153298		0.001600614	8.61E-09	1.23E-08	0.004469364	
BGC0001817	2.73E-11	3.89E-10	4.07E-12	0.000669258	1.51E-11	1.32E-12	2.08E-11	3.78E-12	1.69E-11		3.87E-13	1.69E-12	3.01E-12	7.71E-11	8.36E-12		1.71E-12	4.65E-12	9.73E-13	1.07E-11	5.99E-12	6.93E-11	4.01E-12	1.78E-11	9.87E-12
BGC0000634	1.60E-11	6.64E-13	1.08E-11	3.27E-13		1.54E-12	1.56E-13	1.13E-09	3.13E-14		8.60E-13	4.63E-30	1.59E-12	1.86E-11	5.88E-08		8.84E-10	8.96E-13	2.07E-12	7.62E-13	2.20E-12	1.03E-11	1.48E-12	5.03E-14	1.49E-11
BGC0001684	1.33E-11		7.26E-14		0.000222596				5.91E-13	0.000126358	0.002340242	1.40E-08											2.28E-14	1.38E-10	
BGC0001412		0.201221648	0.000383329	0.029984961	0.000599116	0.083663153		0.006303648	0.082667433		0.029234656	0.248671478	0.064726875	0.003956784	3.30E-07		3.14E-15	1.52E-13	0.120384421	0.258372672	0.126936876	7.33E-30	0.259184169	0.01305284	
BGC0000972		0.027495816	1.02E-11		1.15E-05		0.015727185			8.42E-10	0.012421262	1.13E-06	0.068462356	0.006245417			0.082666948		0.011093486	0.007966815	0.000682683		0.000923253	1.03E-05	
BGC0001681		0.020596512	5.46E-08	0.009177852		0.027512662	5.55E-32	0.000816785	0.009077421		0.007598749	0.020517523	0.016449782				7.26E-31		0.012802493	0.030991872	0.021784837		0.036345186	0.001242359	
BGC0000948		0.019928298	9.72E-07			0.020235039		0.000295502	0.010347434		0.006181803	0.013002182	0.017728305						0.021853888	0.034539442	0.0278385		0.038675417	0.002318114	
BGC0000087		0.018331741	1.17E-15				0.056245978			0.005685758	0.036881042		0.001921987				0.001777137	0.001620375	0.000659103	0.001138116				0.004374081	
BGC0000535		0.015583358		6.57E-27		1.60E-05	3.96E-27		0.00029871			1.64E-26					2.46E-05							2.76E-05	1.16E-07
BGC0000523		0.005080372	2.79E-31	0.009177852		0.000195979	0.000302081	1.66E-09		0.000323875	0.005802154	2.63E-05				7.63E-05	0.000370937		1.73E-06	5.86E-26		0.000466626	4.58E-31		
BGC0000549		0.00151125	3.39E-07	0.000772787						6.26E-08	4.77E-06	1.61E-07					8.97E-29						3.38E-06	2.55E-08	
BGC0000620		0.000168966					7.68E-05									0.000242314	7.69E-06		0.000207629	0.000218539					
BGC0000792		3.24E-05																							
BGC0000764		2.80E-05		2.03E-06		4.84E-06	1.08E-05	0.000203636	1.08E-07	3.14E-06						0.002543309	0.000232362		4.82E-05	0.000303991			4.70E-06		
BGC0000561		2.75E-05		1.72E-06							1.71E-05													1.42E-06	
BGC0000587		1.01E-07	0.000411432		0.200717389		0.017274932			1.47E-05	0.013525267		3.86E-28				0.000365509		6.63E-06		4.72E-09				6.05E-07
BGC0000766		8.53E-08									4.87E-07									2.52E-07					
BGC0001759		3.52E-10	1.59E-13	1.36E-12	2.34E-19	1.79E-13	1.50E-10	2.47E-11	1.42E-10	1.18E-11	1.50E-17	7.88E-15	7.87E-14	2.16E-12	1.21E-09		1.06E-13	3.34E-13	1.92E-14	3.10E-11	3.12E-14	1.93E-12	7.45E-30	1.03E-29	6.39E-09
BGC0000696		2.29E-10	5.58E-11	1.19E-11	8.23E-14	2.01E-05	7.24E-12	1.83E-14	1.03E-14		2.44E-15		1.73E-11	1.17E-11	2.18E-12		1.92E-06	4.42E-06	1.76E-05	2.90E-13	2.03E-05	2.03E-09	3.10E-12	1.08E-11	0.000241752
BGC0001155		2.09E-11	1.70E-14	1.22E-11	2.87E-14	2.47E-13	1.02E-14		5.96E-31		5.98E-14	2.32E-30	1.71E-15	2.64E-25			6.36E-30			1.05E-14	4.71E-20	3.49E-28	4.83E-30	2.35E-30	1.85E-11
BGC0000498		1.36E-11	2.15E-11	7.43E-09							2.73E-11													0.00038673	
BGC0001984		1.01E-11											4.63E-14										6.24E-12		
BGC0001214		7.02E-12	1.92E-13	6.11E-13	3.53E-30		6.43E-30		6.54E-31				2.63E-29								4.74E-30	6.05E-12			
BGC0000765		1.35E-12									8.68E-08														
BGC0000610		4.94E-13	3.40E-15	1.03E-10	1.97E-13	2.04E-14	1.44E-12	9.31E-15	4.61E-13		5.65E-21	2.91E-16	2.14E-14	2.53E-13	2.26E-13		1.40E-13	1.27E-13	7.20E-15	2.92E-12	8.89E-14	5.78E-12	6.15E-29	1.22E-29	2.99E-13
BGC0000615		4.62E-13	7.60E-15	3.90E-07	4.47E-29	8.59E-15	1.73E-13	4.34E-13	2.33E-15		1.94E-31	6.07E-28	8.19E-10	2.02E-17			9.19E-30		3.32E-15	4.58E-15	1.99E-14	2.00E-10	2.77E-29	1.19E-30	3.52E-13
BGC0001302		4.25E-13	2.77E-32	7.32E-30									1.21E-17						2.18E-15			2.72E-30			2.26E-11
BGC0000203		7.72E-14		7.52E-29	1.55E-30		8.77E-31						9.80E-12	3.47E-30						3.28E-30	7.72E-31	5.05E-14	3.29E-31		
BGC0001701		8.84E-25		7.47E-30	1.75E-12	0.000161428	7.74E-10	0.221989291	0.037738533		4.95E-26	2.16E-06	1.12E-27	0.098861484			1.33E-07	1.11E-09		0.002276233	2.96E-27	0.009618787	3.14E-13		0.000271389
BGC0000521		8.84E-25					0.000189855										0.000342089								
