Genome_ID	ERR6281997	ERR6229432	ERR6282298	ERR6281944	ERR6281939	ERR6282070	ERR6282137	ERR6282383	ERR6281677	ERR6281658	ERR6281586	ERR6281941	ERR6281751	ERR6281505	ERR6281499	ERR6281942	ERR6281433	ERR6281504	ERR6281431	ERR6281448	ERR6281500	ERR6281518	ERR6281342	ERR6281344	ERR6281340	ERR6281432	ERR6280948	ERR6281434	ERR6281341	ERR6281343	ERR6280910	ERR6279683	ERR6279682	ERR6281000	ERR6279680	ERR6280907	ERR6279679	ERR6279675	ERR6279678	ERR6279673	ERR6279677	ERR6280899	ERR6279674	ERR6279676	ERR6279681	ERR6279668	ERR6279671	ERR6279672	ERR6279667	ERR6279665	ERR6279663	ERR6279664	ERR6279666	ERR6279662	ERR6279658	ERR6279660	ERR6279670	ERR6279659	ERR6279656	ERR6279653	ERR6279654	ERR6279652	ERR6279669	ERR6279661	ERR6279651	ERR6279650	ERR6279649	ERR6279646	ERR6279648	ERR6279645	ERR6279644	ERR6279629	ERR6279655	ERR6279627	ERR6279647	ERR6279657	ERR6279625	ERR6279628	ERR6279626	ERR6279623	ERR6279621	ERR6279620	ERR6279615	ERR6279619	ERR6279616	ERR6279622	ERR6275684	ERR6279614	ERR6275681	ERR6279624	ERR6254871	ERR6254870	ERR6275661	ERR6243879	ERR6248618	ERR6264281	ERR6239138	ERR6243877	ERR6243880	ERR6243878	ERR6235717	ERR6235716	ERR6239139	ERR6236131	ERR6235718	ERR6233693	ERR6233692	ERR6232687	ERR6232688	ERR6233694	ERR6232529	ERR6232686	ERR6232528	ERR6232526	ERR6232525	ERR6232523	ERR6232521	ERR6232522	ERR6232527	ERR6232518	ERR6232425	ERR6232458	ERR6232382	ERR6231548	ERR6232524	ERR6231616	ERR6230278	ERR6230340	ERR6230326	ERR6231475	ERR6233695	ERR6230245	ERR6275682	ERR6275683	ERR6275678	ERR6275679	ERR6275680	ERR6275676	ERR6279618	ERR6275675	ERR6275672	ERR6275677	ERR6275671	ERR6275670	ERR6275669	ERR6275673	ERR6275667	ERR6275664	ERR6275665	ERR6275666	ERR6275659	ERR6275663	ERR6275674	ERR6275668	ERR6275652	ERR6271720	ERR6267711	ERR6271719	ERR6267712	ERR6257997	ERR6271721	ERR6273965	ERR6264280	ERR6254869
BGC0001654	0.613842956	0.281296254	0.281348079	0.734451324	0.177235479	0.549049674	0.000243246	0.005839769	0.297493057	0.460336015	0.111047166		0.006119567	9.73E-05	0.007342629	0.024363656	0.018028613	0.039055508	0.048099725	0.00077052	0.000837426	0.001105424	0.005983276	0.005693509		0.264496896	0.243480561	0.000932402	0.000210065	0.003806669	0.000225973	0.001741018	0.007367296	7.32E-05	0.013390345	0.003331256	0.015925648	0.007743385	0.006392236	0.098617269	0.000222187	0.016127671	0.001141904	0.107470016	0.000103367	2.02E-05	0.001356669	0.000213452	1.48E-06	0.003493571	0.049095492	0.000194552	0.012938243	0.008223623	0.000156008	0.000199666	0.101390143	0.002164502	0.000967424	0.001307627	0.000622421	1.83E-05	0.000122052	7.38E-05	0.1655294	0.107087917	0.023235754	0.004175583	2.80E-10	0.002968877	0.000398096	0.01189143	4.00E-05	3.51E-05	0.016624758	0.000552832		0.000148788	0.001184511	2.50E-10	1.64E-11	0.158788032		0.027776526	0.029162966	3.01E-09	1.96E-06		0.015489737	0.000621691	0.044349707	0.000620782	0.003518708	0.000449858		0.004278931	2.04E-05		0.000116111	0.002445882	0.000287907	0.010914172	5.07E-05	0.011422437	0.000219139	0.000425235	0.05571454	0.105683315	0.007704689		0.006120654	0.00038057	0.00134944		1.18E-06	0.005860708	0.008928815	0.061077191	4.29E-05		0.000713595	0.003278675		0.001924577	1.18E-11			0.015843097		0.001814421	0.001441851		0.000107159	0.092384341	4.51E-10		0.04313057	0.01992546	0.001099721	0.00010764	0.000101857	0.295832346	0.001313203	0.079798479	0.116161548	0.014359345	3.74E-05	0.207958704	0.119053252	0.002709143	0.000348573	0.015075154		0.000781711	0.048330328	0.00017057	0.000234791	0.0005838			0.014378759	0.000200294	0.145304868	0.091632543
BGC0001555	0.162360868	0.002564979	0.035890271	0.006652607	0.178491026	0.0254353	0.065992693	0.068496416	0.027906809		0.182739284	0.098595573	0.497879401	0.001058267	0.131423534	0.367660527	0.014349392	0.013230999	0.01216178	0.733665793	0.069946025	0.432326599	0.003039541	0.32871952	0.029362273	0.03047877	0.040027933	0.045050431	0.350013123	0.032079335	0.037638781	0.066305547	0.170248564	0.858936197	0.027705826	0.001687272	0.001230671	0.151456288	0.354426415	0.015042199	0.032187077	0.02135529	0.126195448	0.004953618	0.040504836	0.309751205	0.013615581	0.066804585	0.188009415	0.128245927	0.011330468	0.568886752	0.013925282	0.044147218	0.005830002	0.141982186	0.004401502	0.365350082	0.007091764	0.567866668	0.127947722	0.422935836	0.06724831	0.020522452	0.214001674	0.070909263	0.581347087		0.791420827	0.326549525	0.096350831	0.048529333	0.367297724	0.278286459	0.015240373	0.01031138	0.299579189	0.364460611	0.110352433	0.002131348	0.001173403	0.026171784	0.000400365	0.001556389	0.001772247	0.005116949	0.020650448	0.178876703	0.008648951	0.006676221	0.257232488	0.046241469	0.017537218	0.743668601	0.120833908	0.2985647	0.004051822	0.013487326	0.07619916	0.032494834	0.788146163	0.003092303	0.37286189	0.139963578	0.56648961	0.014575183	0.018955068	0.046574945	0.177128978	0.350887533	0.017297802	0.031294433	0.029704259	0.194148285	0.081879509	0.421758486	0.048836702	0.149256128	0.000298545	0.004976065	0.019308751	0.001368526	0.004947948	0.010766347	0.055651131	0.010861034	0.003589509	0.021998885	0.001913217	0.005968438	0.057267092	0.016793176	0.001413237	0.003783299	0.00196979	0.018329211	0.000483706	0.038495856	0.207030882	0.001387362	0.023674973	0.004691382	0.050658827	0.042828196	0.000777411	0.108914934	0.538558677	0.003181652	0.284290567	0.004928204		0.067761516	0.000612119	0.276182998	0.137964452	8.27E-29		0.514096894	0.001115417	0.036108043	0.074382167	4.03E-07	0.070627714	
BGC0001575	0.11306317	0.197708806	0.02130357	0.096814969	0.00425917	0.01677419	7.84E-05	0.00297662	0.009105513	0.002176987	0.004714903	0.001955342	0.01092995	0.983777053	0.295885022	0.071953599	0.115313261	0.797034087	0.581442863	0.038372169	0.773103444	0.047073765	0.876427709	0.216214987	0.336376597	0.004550416	0.576160842	0.139422615	0.008217649	0.20946662	0.503834598	0.151551727	0.157355216	0.000667723	0.083802446	0.980435831	0.961476242	0.154803034	0.457526761	0.652095081	0.295877376	0.617647368	0.027931684	0.31467321	0.00131562	0.000147198	0.947758834	0.111743992	0.030630962	0.326603051	0.52383967	0.009820738	0.832478031	0.635753313	0.098779754	3.95E-05	0.861867041	0.089811634	0.847654916	0.036744335	0.013982604	0.036498929	0.122589513	0.032503192	0.03776516	0.001382116	0.027489198	0.949990316	0.005017189	0.137988168	0.053649489	0.007341852	0.010159623	0.060821585	0.720242646	0.042275975	0.077513558	0.008145702	0.011186562	0.931960178	0.968539188	0.022432726	0.938387396	0.741571481	0.890330488	0.938658417	0.938878353	0.253608057	0.592492888	0.042713842	0.380951318	0.177427312	0.286256387	0.000152865	0.528646789	0.150387263	0.935446004	0.938596966	0.065449249	0.768775558	0.006461319	0.683646504	0.007855714	0.576698646	0.001979019	0.691581116	0.813621141	0.70379383	0.337861283	0.000254493	0.498878029	0.904205618	0.935875526	0.000127954	0.298229783	0.267528207	0.159624977	0.342492848	0.992214163	0.966470921	0.01355264	0.806377616	0.37718519	0.874297532	0.13380137	0.372234541	0.795042914	0.916754082	0.698034425	0.601303324	0.034269876	0.154923371	0.916803278	0.427842774	0.658981191	0.719754564	0.634684585	0.710892531	0.02462152	0.425545244	0.099204251	0.639896344	0.323817358	0.667032467	0.726979956	0.316579294	0.048095465	0.749697478	0.285756438	0.290474252	0.737823395	0.000846519	0.835141762	0.344925317	0.116446704	0.979727104	0.993073	0.193819119	0.954895897	0.204065952	0.370344462	0.844571978	0.160039126	0.793980952
BGC0001055	0.075541594	0.001559972	0.120604594	0.009267154	0.316944251	0.012543462	0.250864669	0.669552843	0.028979766		0.50602305	0.20441334	0.090565218	0.003100421	0.353604685	0.121203752	0.00194726	0.031883754	0.007515667	0.03953761	0.046780392	0.26953991	0.005586576	0.068748477	0.260787785	0.105902792	0.024671704	0.006676945	0.520538617	0.051117357	0.033152446	0.110480462	0.149266995	0.093663448	0.091537786	0.001875235	0.001123894	0.154414479	0.029787029	0.040045882	0.006665125	0.019554927	0.620618568	0.001515222	0.643581499	0.001833966	0.011633494	0.689018371	0.502023398	0.297508848	0.007728447	0.112295435	0.003437212	0.062777408	0.00082785	0.541058216	0.008908681	0.129088132	0.014355848	0.076810135	0.154718957	0.386734894	0.233146691	0.629549279	0.321861653	0.198278047	0.125614108		0.048455106	0.036505244	0.297069746	0.194728318	0.383015082	0.101393133	0.054618327	0.086990042	0.131709295	0.439648834	0.045287344	0.01963249	0.00163907	0.093850499	0.001645643	0.003096466	0.005877861	0.01479467	7.35E-06	0.303548541	0.011027504	0.002643893	0.092186319	0.031377051	0.117591706	0.146196583	0.031610898	0.406825064	0.006839706	0.010620465	0.21413285	0.049577486	0.100896527	0.002136434	0.055322703	0.080093074	0.126522789	0.034856355	0.062578743	0.058468793	0.182987044	0.118813056	0.031080339	0.028043525	0.018742629	0.226194176	0.292615433	0.038253071	0.073346308	0.137870736	0.000192113	0.007190568	0.12749433	0.002093335	0.002992027	0.009989233	0.112897511	0.015126456	0.006002186	0.010135303	0.013041715	0.000837897	0.255102479	0.223105628	0.006851957	0.00176988	0.079698322	0.085356916	0.001598172	0.030599808	0.493015622	0.014992572	0.140856538	0.011885659	0.177303997	0.031501846	0.00141743	0.251468055	0.072794214	0.00810672	0.037100325	0.028490027		0.233996651	3.64E-06	0.046545157	0.200472533	1.18E-05		0.157321266	0.007353375	0.035686597	0.019885575		0.17609891	
BGC0000776	0.022680407	6.26E-06	0.032121991		0.054430836	0.001563896	0.079022668	0.214509415			0.038561958	0.028342666	0.001625146	0.001365866	0.029785288	0.070244921	0.000499051	1.18E-05	7.95E-06	0.023174312	0.01836543	0.081762892	1.91E-05	0.007734336	0.086778854	0.032517603	0.043654151	0.000886973	0.051151215	0.031069274	0.013791992	0.039965491	0.042447784	0.005255622	0.017318988	0.000780703	0.000772354	0.067322899	0.026714183	0.003165462	0.004561963	0.003544746	0.163625309	0.000622812	0.129760132	0.003589477	0.001458316	0.027994605	0.040366294	0.005835397	1.64E-05	0.045281616	0.000545389	0.001308714	0.000137443	0.153288641	0.001552644	0.071401282	0.000413873	0.063587038	0.049181744	0.024173445	0.152786509	0.166125397	0.065007873	0.082061921	0.02953724		0.010147608	0.015436798	0.007057908	0.10181434	0.024724504	0.049873558	0.023139012	0.004870722	0.009719873	0.046187476	0.031265985	0.00386123	0.00019418	0.01071963	0.000209975	0.000943334	6.14E-08	0.001149892		0.029095688	0.007140302	0.000273097	0.019476928	0.002910518	0.045540901	0.007142716	0.027715696	0.03340183	0.003020917	0.003940955	0.094124895	0.011225717	0.026742962	2.34E-05	0.049072974	0.035131282	0.024529411	0.007139053	0.005113641	0.004017955	0.030669873	0.034521222	0.01097597	0.006538142	0.004696759	0.090726918	0.031520238	0.03179216	1.63E-05	0.017117662	6.01E-06	0.002003286	0.060199486	0.001280575	0.001532185	0.004392598	0.016556475	0.002261958	6.37E-05	0.00427545	0.005955339	0.00019954	0.115809297	0.076989029	0.004920883	0.000314142	0.002011312	0.039011132	0.001656895	0.037023748	0.156020232	0.012207924	0.038748572	0.007728172	0.041742894	0.011320763	0.002172777	0.051363407	0.005013983	0.005591773	0.037372088	0.003233998		0.11886483	1.35E-06	0.006954113	0.003921242			0.007292961	0.009784705	0.000671587	0.005408612		0.056835695	
BGC0001701	0.008013995		2.60E-31	2.25E-10		3.19E-08	3.53E-31	7.05E-05		2.03E-08	4.67E-10	1.50E-09	1.40E-05	2.51E-08		9.53E-06	3.01E-06	2.69E-09	0.002471271	0.000619064	1.14E-05	0.001245835	1.05E-14	8.48E-05	0.000316443	5.60E-05		7.06E-05	0.001114681	0.000928235	4.79E-05		1.46E-12	6.27E-06	0.001895897	0.000338981	0.000184983	4.36E-30	0.005179166	0.001461978	5.74E-06	1.29E-06	2.05E-05	0.000345547	9.26E-06	0.001550969	7.99E-12	0.000118298	0.000168793	1.40E-08	0.003037902	1.74E-30	0.001225158	0.003053734		0.027699647	2.56E-06	2.22E-14	1.63E-13	0.023429466			0.000104189	2.30E-11				0.02705988	3.08E-33	8.48E-15	7.38E-14		1.88E-09	0.00331891	2.09E-14	0.002029958	1.70E-12	1.92E-29	2.47E-24	1.07E-13	7.89E-14		2.37E-14	0.001294451	1.33E-13	0.015121304		0.000370559		0.000646596	0.025045794	0.098885732				0.000807066		1.76E-12	1.06E-06	0.039967458	9.11E-31	0.004834443		2.06E-25	0.00558044	2.07E-10		1.85E-09	1.70E-12		0.009142878		0.00516145		9.02E-10	1.62E-13		4.87E-13	2.26E-05			5.57E-14	0.00730375	1.63E-14	0.220596369	7.89E-15	1.67E-06	1.53E-27		5.44E-26	9.99E-12	1.79E-13	0.024765164	4.10E-09	1.40E-06	1.09E-13	9.65E-09	1.45E-10	9.56E-13	1.35E-06	0.001578687	0.00234123	0.019451856	1.60E-11	0.087491914	2.14E-13	4.01E-08	0.008597335	3.79E-13	0.025200207	1.32E-14	7.01E-12	0.0297068	0.000235006	5.75E-25	3.43E-06	3.23E-08	5.73E-05	8.11E-11	5.67E-12	9.39E-14		7.62E-09	
BGC0001411	0.001895077	0.032012649	7.82E-14	1.00E-13	0.017249672	1.59E-13	3.00E-05	9.91E-16	0.314417634	0.103926415	4.48E-15	0.178764454	1.83E-05	9.88E-05		7.69E-05	0.547536615	0.007106358		0.001980202	1.39E-05	0.001576458	3.39E-31	0.002289534	0.029609169	0.009871606	0.000403574	8.56E-05	2.82E-05	0.000509216	1.49E-31	0.002206338	0.00031538	6.72E-05		0.000330327	4.21E-08	0.003812161	0.001993573	0.000174076		0.000263419	5.69E-08	8.95E-06	6.01E-06	3.37E-22	0.001169569	4.75E-05	8.57E-06	5.13E-15	0.014224905	1.19E-07	0.000499078	1.67E-30		1.11E-22	0.003839788	4.35E-07	0.001304252	0.013144607	0.000644533	0.00050402	0.000404283	6.98E-18	0.014864666	0.007825531	0.001231239	0.006929492	0.000309024	1.30E-15	2.43E-16	5.82E-15	0.000466665		0.028377434	5.42E-05	0.111054667	0.003471185	3.68E-05		3.14E-31	0.20353406			2.85E-15	3.21E-12	0.005527596	0.029490462	3.55E-15		1.41E-14	0.000702408		3.93E-15	0.027981735	7.94E-05		3.25E-21	5.87E-05	0.00018904	0.001269882	0.031969103	0.006559075	1.23E-30	0.003646876	0.000251474	6.41E-15		0.11857529	3.01E-05	0.001568614	2.30E-24			0.015619738	0.009019371	2.73E-29	2.08E-29	0.000971867		0.01441694	0.000172624	4.47E-31		0.084388371		0.007893924	6.13E-30	0.000413114	3.04E-29	7.09E-17			6.73E-15			9.53E-30	1.07E-15	0.002018293	0.206740043	0.12344271	1.33E-10	4.63E-31		0.033370956	0.050602403	5.98E-18	4.95E-29	1.95E-15	0.00440241		4.55E-16	5.73E-13		0.051892268	0.003470849		0.008273494	0.006397072	4.38E-30	0.10879343	3.14E-14	2.52E-14	0.0387467
BGC0000773	0.001007331	4.87E-08	0.002222415		0.001676469		0.000299294	0.003680651	1.77E-10		5.60E-12	0.00110732		0.000720282	0.000642875	2.28E-09		6.22E-05		0.000322085	4.50E-06	0.001809998		7.71E-06	8.42E-05	0.000216619		1.21E-06	0.00070427	0.000241865	0.000736957	7.35E-05	0.002241649	3.08E-05	0.000622635		0.00014928	2.90E-15	1.20E-11	9.43E-09	3.92E-07	7.10E-08	7.36E-05		0.007724453	2.96E-16		0.000116662	0.000238318			1.43E-05	0.000148211	1.58E-11	8.50E-06	0.000980837	2.08E-05	5.50E-05	3.82E-05	1.49E-05	8.29E-05	4.19E-10	1.31E-05	9.08E-05	0.00174131	0.000388491	0.000172605		8.71E-05	7.10E-05	9.28E-12	4.05E-06	4.43E-08	7.44E-06	7.75E-09	0.000327715	3.52E-05	0.002093118	3.32E-06	0.001538427						1.10E-10		0.002355618	7.79E-07	5.28E-10	2.99E-06	6.47E-31	0.000719426		9.95E-08	0.000421502			0.00042469	1.28E-06	1.10E-05		0.000168764		0.000604323				0.000134345	8.87E-05		3.83E-05		0.001404886	5.33E-30	1.47E-05	1.50E-28			0.00036677	0.000514617				0.000493424	4.74E-05			2.74E-06		0.001657215	0.000183998	2.69E-08			0.000197876		4.40E-06	0.001886772	2.43E-06	0.001606576	5.31E-06	0.000140722	5.82E-06		0.000297985	7.90E-07		1.46E-05			0.001825437		0.000202086	0.007945157			3.47E-06	0.000579364	9.56E-09	2.74E-05		4.42E-05	
BGC0000972	0.000977352	0.005550353	0.243568411				0.42101511		0.003826523					0.008096816		2.82E-06		0.031270783		0.022119916	1.71E-10	0.006422573		0.020593272	0.098322104	0.182455956	0.002942796	0.000243138	2.81E-27	0.08899688	0.057164425	0.198244582	0.267030331	0.000900635	0.517277295	0.000338903	0.002027696	0.118110735		0.004275194	2.64E-15	0.006050427	0.028893212	0.000157895	9.69E-30	4.34E-13	0.001691747	7.45E-12	0.003312468	0.001468686	1.05E-12			0.001144219			0.002994893	0.001049097		0.006295791	0.270598141	2.25E-09	0.39648215	0.122209122	0.024323168	0.367742003			3.55E-10	0.038371498		0.460111465	7.21E-17	9.29E-09	0.09266304	0.839259496	0.023700951	0.00108314	0.014947379	0.028778454	0.003182262	0.005341836			0.003861046	0.001659517		0.078327246				7.75E-12	0.201785297	3.25E-14	0.028640942	0.003431246	0.001916706	0.006495806	0.357696677	0.061297045	0.000250617	0.001291636	0.001764904	0.028252963	0.000600064	0.014760477	0.024878885	0.021156162	0.007854153	0.000720331	0.006705385	0.00850083	0.000605146	0.361546176	0.080117322	0.006325928	0.014451011	0.076023837	4.90E-05	0.000646563	0.179767833	0.000299763	0.001380781	0.009373271	0.041147555	0.004506931	0.011209321	3.52E-23	0.00416399		0.372410232		0.013546023	1.88E-16		0.111532437					0.254425849	0.020356906	0.306990711		0.002694922	0.130814025		0.011612054		0.032546446		0.350397216		0.00257409		0.000702687		3.70E-14		0.264617532	0.004155619		0.275708438	
BGC0000799	0.000302343	2.03E-06	0.000690444	2.21E-05	0.029496051	4.28E-05	0.005518445	0.00609936	0.000261954		0.024303699	0.003270749	1.85E-05	3.77E-06	0.014558606	0.077560134	0.000826013	0.000493249	1.74E-05	0.03075945	0.058760014	0.033268583	0.000295472	0.007054599	0.002531819	0.002389753	0.01910838	0.000176178	0.00446631	0.001403285	0.000405463	0.000699536	0.001830759	0.008134195	0.00269226	0.000159458	2.16E-05	0.244275822	0.091435597	0.000715864	0.003438453	0.00280656	0.004373914	0.000925573	0.005996599	0.003708547	0.001219704	0.037083231	0.033080403	0.000826367	0.001415923	0.226637348	0.000402389	0.002073607	2.34E-07	0.006233624	0.000203742	0.210026616	0.000355478	0.158633866	0.00103636	0.014551679	0.002763696	0.005402677	0.006095507	0.006906068	0.063249222	2.49E-05	0.028067838	0.018875277	0.04184195	0.000882248	0.016737112	0.077847303	0.000536787	0.000250764	0.002035863	0.007669639	0.014457437	0.000511095	8.76E-05	0.000250033	0.00067568	2.20E-05	3.60E-14	0.019619295	0.016668273	0.005625712	1.17E-08	0.000134452	0.044401936	0.004384954	0.001330323	0.000151097	0.042012737	0.03279043	0.000561492	0.001252335	0.004306418	0.003458713	0.025606028	1.05E-05	0.076945211	0.004444847	0.079412618	0.004550787	0.001680352	0.000455494	0.003114325	0.114337587	9.24E-05	0.002267586	0.000444406	0.022718066	0.001593116	0.02583495	0.012251191	0.027499009	2.33E-06	2.19E-05	0.00216484	1.55E-11	0.000477243	0.000861909	0.007943674	0.000131641	4.92E-05	5.52E-08	0.006031506		0.004656443	0.022881923	7.82E-05		0.000261504	0.001315111	0.001073658	0.038613844	0.003613215	0.003601011	0.002249444	0.000104381	0.001829115	0.023746928	3.12E-05	0.00149616	0.010410479	1.55E-06	0.029377594	0.000930364		0.005764343	2.90E-07	0.005402758	0.012361375			0.006368673	0.001139222	0.040327279	3.94E-05	1.57E-11	0.001543592	
