clade_name	metaphlan_SRR13068812	metaphlan_SRR13068813	metaphlan_SRR13068814	metaphlan_SRR13068815	metaphlan_SRR13068816	metaphlan_SRR13068817	metaphlan_SRR13068818	metaphlan_SRR13068819	metaphlan_SRR13068820	metaphlan_SRR13068821	metaphlan_SRR13068822	metaphlan_SRR13068823	metaphlan_SRR13068824	metaphlan_SRR13068825	metaphlan_SRR13068826	metaphlan_SRR13068827	metaphlan_SRR13068828	metaphlan_SRR13068829	metaphlan_SRR13068830	metaphlan_SRR13068831	metaphlan_SRR13068832	metaphlan_SRR13068833	metaphlan_SRR13068834	metaphlan_SRR13068835	metaphlan_SRR13068836	metaphlan_SRR13068837	metaphlan_SRR13068838	metaphlan_SRR13068839	metaphlan_SRR13068840	metaphlan_SRR13068841	metaphlan_SRR13068842	metaphlan_SRR13068843	metaphlan_SRR13068844	metaphlan_SRR13068845	metaphlan_SRR13068846	metaphlan_SRR13068847	metaphlan_SRR13068848	metaphlan_SRR13068849	metaphlan_SRR13068850	metaphlan_SRR13068851	metaphlan_SRR13068852	metaphlan_SRR13068853
k__Bacteria	100.0	100.0	100.0	99.97508	100.0	100.0	99.945	99.84995	99.98053	99.99753	99.59032	96.45545	95.20329	98.78739	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	99.04037	99.55516	98.12684	99.91398	100.0	100.0	100.0	100.0	99.91995	99.99188	99.55454	99.60364	100.0	100.0
k__Bacteria|p__Verrucomicrobia	41.55776	0.01345	0.02987	0.0	0.0	1.35951	0.21373	0.0	0.0	0.17708	0.00375	0.12521	0.48879	2.96859	1.05639	0.43658	0.32215	0.81912	0.00389	0.00126	0.0	0.06013	0.61109	5.68589	1.65251	1.52486	2.29085	0.06344	0.2099	0.00183	0.14742	0.84443	5.32239	0.03289	0.0	0.0	24.78679	0.0079	0.0168	0.02135	0.0	0.0
k__Bacteria|p__Firmicutes	32.03003	63.6411	78.76169	75.40254	62.31769	86.53951	72.3297	72.07638	80.69874	70.97902	53.07933	76.50228	75.44248	81.19759	93.52501	80.93994	82.99601	85.86008	52.24726	80.90178	68.75508	61.64635	73.05803	73.70328	80.69584	82.05164	71.81969	85.49543	90.3803	83.92416	77.53592	88.8424	53.00158	80.2437	74.18098	75.49576	53.61461	65.57865	80.80473	75.98831	76.38148	87.96594
k__Bacteria|p__Bacteroidetes	20.30692	10.84339	9.19134	14.12183	34.627	4.89889	20.84333	23.38238	12.05865	8.1145	42.94578	9.16365	7.89162	4.06482	0.54364	5.82697	4.95906	1.90852	8.03752	16.05255	2.19239	33.71898	7.92237	6.72537	2.75574	2.53511	16.50858	4.56651	1.07113	1.57138	10.93804	1.97206	13.75155	3.49623	4.05212	11.38883	12.01377	29.59181	2.71488	17.99309	16.33911	1.57157
k__Bacteria|p__Proteobacteria	3.61273	3.57518	0.35568	0.77259	1.32378	0.10328	0.35144	1.38734	0.39175	0.3237	2.09698	2.43449	2.07378	3.21767	0.15706	0.05869	0.24476	0.82718	31.13155	0.26583	0.22961	2.90014	0.0219	0.10026	0.2166	0.03826	0.02969	3.34035	2.04867	0.06323	2.35481	1.45267	0.18351	0.02532	0.10799	0.77899	1.39282	0.68363	0.43706	0.19845	1.31368	0.59827
k__Bacteria|p__Actinobacteria	2.49256	21.91267	11.66142	9.56234	1.56346	7.0988	6.20681	2.67682	6.83139	20.37777	1.41028	7.02877	8.88247	7.28199	4.71791	10.95665	11.06174	10.57753	8.19447	2.77859	28.78069	0.41722	18.38661	13.7852	14.6793	13.85014	9.35119	6.41435	5.29804	13.97517	7.07688	6.59547	27.74097	16.20186	21.65891	12.26831	8.01185	4.127	15.58107	5.40244	5.80167	9.86422
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	41.55776	0.01345	0.02987	0.0	0.0	1.35951	0.21373	0.0	0.0	0.17708	0.00375	0.04275	0.48026	2.96859	1.05639	0.43658	0.32215	0.81912	0.00389	0.00126	0.0	0.06013	0.61109	5.68589	1.65251	1.52486	2.29085	0.06344	0.2099	0.00183	0.14742	0.84443	5.32239	0.03289	0.0	0.0	24.78679	0.0079	0.0168	0.02135	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia	23.533	41.5083	57.61127	50.2417	46.89956	68.36883	65.04754	56.08264	68.20575	64.79292	29.13858	45.46633	46.43507	38.47506	60.39566	68.02701	70.62652	73.18483	50.01283	57.87781	57.02953	55.91089	68.07394	56.34416	63.96504	69.2451	57.88293	61.7907	71.00545	52.76801	59.4413	66.07697	27.69281	59.17552	44.30255	47.73915	47.2649	58.83017	70.64926	63.30559	58.50491	67.52602
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	20.30692	10.84156	9.19134	12.24242	27.07513	4.89889	20.809	20.27364	12.04334	5.22262	42.55706	8.87167	7.80686	3.49994	0.54364	5.82429	4.95789	1.87876	8.03752	14.56596	1.93691	29.12916	7.92237	6.72537	2.75465	2.53511	14.91326	4.27167	1.04991	1.57138	10.51377	1.6414	13.73745	3.4914	4.05212	10.06291	11.90762	23.80439	2.71283	15.93823	13.22206	1.56853
k__Bacteria|p__Firmicutes|c__CFGB14936	3.69481	3.61935	7.69815	0.0	0.0	4.27945	0.0	0.0	0.0	0.0	0.00035	0.0	0.00019	0.06859	7.14382	6.74124	3.92662	0.0034	0.0	0.0	0.0	0.00258	0.0	3.57748	6.04306	5.19119	0.00872	0.00082	0.00117	0.0	0.00372	0.0	2.2558	3.90546	5.53238	1.26995	0.00226	0.00341	0.00817	0.0	2.00118	0.0
