clade_name	metaphlan_SRR5930493	metaphlan_SRR5930494	metaphlan_SRR5930495	metaphlan_SRR5930497	metaphlan_SRR5930498	metaphlan_SRR5930499	metaphlan_SRR5930501	metaphlan_SRR5930502	metaphlan_SRR5930503	metaphlan_SRR5930504	metaphlan_SRR5930505	metaphlan_SRR5930506	metaphlan_SRR5930507	metaphlan_SRR5930508	metaphlan_SRR5930509	metaphlan_SRR5930510	metaphlan_SRR5930511	metaphlan_SRR5930512	metaphlan_SRR5930513	metaphlan_SRR5930514	metaphlan_SRR5930515	metaphlan_SRR5930516	metaphlan_SRR5930517	metaphlan_SRR5930518	metaphlan_SRR5930519	metaphlan_SRR5930520	metaphlan_SRR5930521	metaphlan_SRR5930522	metaphlan_SRR5930523	metaphlan_SRR5930526	metaphlan_SRR5930527	metaphlan_SRR5930528	metaphlan_SRR5930529	metaphlan_SRR5930530	metaphlan_SRR5930531	metaphlan_SRR5930532	metaphlan_SRR5930533	metaphlan_SRR5930534	metaphlan_SRR5930536
k__Bacteria	99.47836	99.23452	98.11407	100.0	98.2311	98.96479	99.37626	100.0	99.26671	99.88749	99.9044	99.89369	98.52956	99.93483	99.92292	99.91435	99.91568	99.99864	99.99953	96.93208	99.99919	98.76193	98.29454	100.0	100.0	99.09224	100.0	100.0	99.89244	99.98802	99.601	99.80689	100.0	99.86964	99.99895	99.99944	99.99855	99.99925	100.0
k__Archaea	0.52164	0.76548	1.88593	0.0	1.7689	1.03521	0.62374	0.0	0.73329	0.11251	0.0956	0.10631	1.47044	0.06517	0.07708	0.08565	0.08432	0.00136	0.00047	3.06792	0.00081	1.23807	1.70546	0.0	0.0	0.90776	0.0	0.0	0.10756	0.01198	0.399	0.19311	0.0	0.13036	0.00105	0.00056	0.00145	0.00075	0.0
k__Bacteria|p__Firmicutes	77.77728	67.95708	63.79219	64.36729	72.16988	57.1179	58.99758	62.79461	72.87351	73.07857	75.21655	56.77245	76.01678	68.12661	69.62422	65.77437	79.18272	89.48628	50.58615	66.03082	72.20183	45.93835	55.3625	45.72482	39.5154	69.63461	39.46739	71.3277	65.64554	68.19814	56.19656	74.41056	70.4232	68.32474	50.97377	71.84602	65.13945	73.66279	60.37658
k__Bacteria|p__Bacteroidetes	10.8989	25.51276	19.96644	31.0216	22.39757	29.59357	29.96601	30.99372	16.82175	21.73436	20.25089	36.01792	18.00055	22.14972	26.67822	28.65255	9.62783	1.08699	48.20521	18.46724	24.18909	30.26168	14.65297	47.70032	37.38294	21.64974	50.38113	7.85688	30.51238	27.45259	29.31962	17.84042	25.47349	24.33379	42.83407	16.46829	16.25543	20.19513	35.4306
k__Bacteria|p__Proteobacteria	7.24252	1.31332	0.65124	1.39314	1.00114	1.3519	3.19416	0.46123	2.44224	0.49985	1.34421	2.05281	0.38525	2.31378	0.98626	2.59867	0.22195	8.22791	0.32991	3.45215	1.34409	1.69762	1.66954	1.36462	1.94551	2.81639	1.82054	1.97388	2.57119	2.09942	2.56793	2.43707	1.25407	1.73711	0.81886	0.05223	7.2316	1.4771	0.4632
k__Bacteria|p__Actinobacteria	2.96971	3.88419	4.83201	3.18069	2.4105	3.58529	2.82806	5.74883	1.81589	4.56207	3.06788	3.52612	3.33927	7.31637	2.25147	2.52487	10.48499	1.13584	0.85648	5.85988	2.24371	20.79431	4.31783	5.19061	3.20015	4.82047	8.23833	13.93871	0.7915	2.21712	9.51123	3.0911	1.08381	1.54989	5.01701	11.56886	11.03928	0.8746	3.60708
k__Bacteria|p__Bacteria_unclassified	0.53393	0.0	0.03256	0.0	0.07284	0.0	0.00068	0.0	0.03511	0.0	0.01937	0.0	0.08005	0.02637	0.0	0.0	0.00166	0.0	0.0	0.0	0.0	0.04425	0.0	0.0	0.0	0.0	0.0	0.12927	0.3528	0.0191	0.19342	0.28114	0.0	0.24921	0.35526	0.0	0.09745	0.0	0.12236
k__Archaea|p__Euryarchaeota	0.51409	0.64084	1.88593	0.0	1.7689	1.03521	0.50074	0.0	0.71567	0.0	0.0	0.0	1.47044	0.0	0.07708	0.00076	0.00681	0.00136	0.00047	2.87403	0.00081	1.1894	1.70546	0.0	0.0	0.46775	0.0	0.0	0.00223	0.0	0.08151	0.0	0.0	0.0	0.00105	0.00056	0.00145	0.00075	0.0
k__Bacteria|p__Verrucomicrobia	0.05602	0.55732	8.44516	0.02688	0.05952	7.23383	3.35304	0.0016	0.65487	0.00788	0.00295	0.60357	0.5039	0.0018	0.38105	0.19428	0.38788	0.01008	0.02179	0.1522	0.02047	0.00252	22.29054	0.00245	7.63458	0.15772	0.08978	3.74233	0.00964	0.00061	1.81042	0.03216	1.76544	3.63998	0.0	0.0	0.17411	3.78392	0.0
k__Archaea|p__Thaumarchaeota	0.00755	0.09526	0.0	0.0	0.0	0.0	0.02755	0.0	0.01762	0.11251	0.0956	0.10631	0.0	0.06517	0.0	0.08489	0.07751	0.0	0.0	0.0107	0.0	0.04867	0.0	0.0	0.0	0.07749	0.0	0.0	0.10533	0.01198	0.0	0.19311	0.0	0.13036	0.0	0.0	0.0	0.0	0.0
