body_site	profiled_ERR2162200	profiled_ERR2162201	profiled_ERR2162202	profiled_ERR2162203	profiled_ERR2162204	profiled_ERR2162205	profiled_ERR2162206	profiled_ERR2162207	profiled_ERR2162208	profiled_ERR2162209	profiled_ERR2162210	profiled_ERR2162211	profiled_ERR2162212	profiled_ERR2162213	profiled_ERR2162214	profiled_ERR2162215	profiled_ERR2162216	profiled_ERR2162217	profiled_ERR2162218	profiled_ERR2162219	profiled_ERR2162220	profiled_ERR2162221	profiled_ERR2162222	profiled_ERR2162223	profiled_ERR2162224
s__Blautia_wexlerae	0.66122	0.17768	0.06078	0.11757	0.13095	0.26216	1.07962	0.2462	0.63127	1.53389	0.16848	0.5217	0.88072	0.3212	0.88487	0.88022	0	1.30113	0.99161	0.12914	0.53968	0.24358	0.98331	0.03257	0.39673
s__Dysosmobacter_welbionis	0.00612	0.00906	0.00716	0.18362	0.01602	0.07287	0	0.70429	0.68883	1.06802	0.82157	0.51884	0.14464	0.95943	0.52565	0.81342	1.92578	0.54756	1.0004	0.43484	0.50371	0.0401	0.28974	0	0.92978
s__Ruthenibacterium_lactatiformans	0	0.05742	0.28581	0.03657	0	0.09595	0.67702	0.29801	0.14574	1.11553	0.09617	0.10114	0.4077	0.15217	0.06764	0.10468	0.31475	0.26851	0.83373	0.14399	0.21549	0.03996	0.1815	0.02795	0.91668
s__Flavonifractor_plautii	0.88071	0	0.44851	0	0	0.0302	5.52975	0.16203	0.439	0.89437	0.13145	0.75939	0.0192	0.31069	0.71265	0.59822	2.89099	0.22817	0.13483	0.06725	0.30238	0.00132	0.12231	1.1396	0.40779
s__Phocaeicola_vulgatus	5.51974	5.03594	24.69335	1.83333	8.28307	7.21169	50.40324	11.62241	0	0	8.51654	0.01845	10.32686	7.80854	9.04637	7.87971	18.64982	0.00175	0	12.40129	18.65875	0.40444	2.30106	3.99785	0.00576
s__Ruminococcus_torques	0.00534	0.03863	0.75487	0.0245	0.09871	0.27225	0.6862	1.03771	0.80467	0	0.09655	0.05708	0.21565	0.45571	0.33991	0.54865	0	0.2141	0.7132	0.04061	0.03698	0.071	0.36078	0	0.01259
s__Fusicatenibacter_saccharivorans	0	0.14136	0.16855	0.05148	0.12834	0.20763	0	0.25934	0.22849	1.64169	0.20474	0	0.67673	0.45783	0.62911	0.25524	0.22786	1.29848	0.04744	0.47637	0.5351	0.43484	0.65146	0.03298	0.49108
s__Bacteroides_ovatus	1.76934	0.5471	2.89729	0.02387	0.03216	2.93254	0	0.85037	4.305	0	7.17343	2.64779	0.73709	0.03723	1.6924	0	7.15526	0	3.43119	1.68053	6.4014	0.16119	10.28591	1.59591	2.48941
s__Bacteroides_uniformis	3.23274	9.64829	0.43713	0.58696	1.1378	13.23522	0.00059	26.52978	28.29161	0	17.88164	13.15215	4.82331	2.53259	9.63432	13.12631	18.82225	0	32.86577	2.65297	10.80407	1.56994	12.31653	0	0
s__Blautia_faecis	0.1623	0.17339	0.11728	0.04343	0.05981	0.15971	0	0.71787	0.179	0	0.10985	0	0.1022	0.07125	0.12988	0.05373	0.52007	0.04975	0.8644	0.05834	0	0.08107	0.15134	0.00709	0.30069
