#mpa_vOct22_CHOCOPhlAnSGB_202212
clade_name	metaphlan_SRR13022250	metaphlan_SRR13022251	metaphlan_SRR13022252	metaphlan_SRR13022253	metaphlan_SRR13022254	metaphlan_SRR13022255	metaphlan_SRR13022256	metaphlan_SRR13022257	metaphlan_SRR13022258	metaphlan_SRR13022259	metaphlan_SRR13022260	metaphlan_SRR13022261	metaphlan_SRR13022262	metaphlan_SRR13022263	metaphlan_SRR13022264	metaphlan_SRR13022265	metaphlan_SRR13022266	metaphlan_SRR13022267	metaphlan_SRR13022268	metaphlan_SRR13022269	metaphlan_SRR13022270	metaphlan_SRR13022271	metaphlan_SRR13022272	metaphlan_SRR13022273	metaphlan_SRR13022274	metaphlan_SRR13022275	metaphlan_SRR13022276	metaphlan_SRR13022277	metaphlan_SRR13022278	metaphlan_SRR13022279	metaphlan_SRR13022280	metaphlan_SRR13022281	metaphlan_SRR13022282	metaphlan_SRR13022283	metaphlan_SRR13022284	metaphlan_SRR13022285	metaphlan_SRR13022286	metaphlan_SRR13022287	metaphlan_SRR13022288	metaphlan_SRR13022289	metaphlan_SRR13022290	metaphlan_SRR13022291	metaphlan_SRR13022292	metaphlan_SRR13022293	metaphlan_SRR13022294	metaphlan_SRR13022295	metaphlan_SRR13022296	metaphlan_SRR13022297	metaphlan_SRR13022298	metaphlan_SRR13022299	metaphlan_SRR13022300	metaphlan_SRR13022301	metaphlan_SRR13022302	metaphlan_SRR13022303	metaphlan_SRR13022304	metaphlan_SRR13022305	metaphlan_SRR13022306	metaphlan_SRR13022307	metaphlan_SRR13022308	metaphlan_SRR13022309	metaphlan_SRR13022310	metaphlan_SRR13022311	metaphlan_SRR13022312	metaphlan_SRR13022313	metaphlan_SRR13022314	metaphlan_SRR13022315	metaphlan_SRR13022316	metaphlan_SRR13022317	metaphlan_SRR13022318	metaphlan_SRR13022319	metaphlan_SRR13022320	metaphlan_SRR13022321	metaphlan_SRR13022322	metaphlan_SRR13022323	metaphlan_SRR13022324	metaphlan_SRR13022325	metaphlan_SRR13022326	metaphlan_SRR13022327	metaphlan_SRR13022328	metaphlan_SRR13022329	metaphlan_SRR13022330	metaphlan_SRR13022331	metaphlan_SRR13022332	metaphlan_SRR13022333	metaphlan_SRR13022334	metaphlan_SRR13022335	metaphlan_SRR13022336	metaphlan_SRR13022337	metaphlan_SRR13022338	metaphlan_SRR13022339	metaphlan_SRR13022340	metaphlan_SRR13022341	metaphlan_SRR13022342	metaphlan_SRR13022343	metaphlan_SRR13022344	metaphlan_SRR13022345	metaphlan_SRR13022346	metaphlan_SRR13022347	metaphlan_SRR13022348	metaphlan_SRR13022349	metaphlan_SRR13022350	metaphlan_SRR13022351	metaphlan_SRR13022352	metaphlan_SRR13022353	metaphlan_SRR13022354	metaphlan_SRR13022355	metaphlan_SRR13022356	metaphlan_SRR13022357	metaphlan_SRR13022358	metaphlan_SRR13022359	metaphlan_SRR13022360	metaphlan_SRR13022361	metaphlan_SRR13022362	metaphlan_SRR13022363	metaphlan_SRR13022364	metaphlan_SRR13022365	metaphlan_SRR13022366	metaphlan_SRR13022367	metaphlan_SRR13022368	metaphlan_SRR13022369	metaphlan_SRR13022370	metaphlan_SRR13022371	metaphlan_SRR13022372	metaphlan_SRR13022373	metaphlan_SRR13022374	metaphlan_SRR13022375	metaphlan_SRR13022376	metaphlan_SRR13022377	metaphlan_SRR13022378	metaphlan_SRR13022379	metaphlan_SRR13022380	metaphlan_SRR13022381	metaphlan_SRR13022382	metaphlan_SRR13022383	metaphlan_SRR13022384	metaphlan_SRR13022385	metaphlan_SRR13022386	metaphlan_SRR13022387	metaphlan_SRR13022389	metaphlan_SRR13022390	metaphlan_SRR13022391	metaphlan_SRR13022392	metaphlan_SRR13022393	metaphlan_SRR13022394	metaphlan_SRR13022395	metaphlan_SRR13022396	metaphlan_SRR13022397	metaphlan_SRR13022398	metaphlan_SRR13022399	metaphlan_SRR13022400	metaphlan_SRR13022401	metaphlan_SRR13022402	metaphlan_SRR13022403	metaphlan_SRR13022404	metaphlan_SRR13022405	metaphlan_SRR13022406	metaphlan_SRR13022407	metaphlan_SRR13022408	metaphlan_SRR13022409	metaphlan_SRR13022410	metaphlan_SRR13022411	metaphlan_SRR13022412	metaphlan_SRR13022413	metaphlan_SRR13022414	metaphlan_SRR13022415	metaphlan_SRR13022416	metaphlan_SRR13022417	metaphlan_SRR13022419	metaphlan_SRR13022420	metaphlan_SRR13022421	metaphlan_SRR13022422	metaphlan_SRR13022423	metaphlan_SRR13022424	metaphlan_SRR13022425	metaphlan_SRR13022426	metaphlan_SRR13022427	metaphlan_SRR13022428	metaphlan_SRR13022429	metaphlan_SRR13022430	metaphlan_SRR13022431	metaphlan_SRR13022432	metaphlan_SRR13022433	metaphlan_SRR13022434	metaphlan_SRR13022435	metaphlan_SRR13022436	metaphlan_SRR13022437	metaphlan_SRR13022438	metaphlan_SRR13022439	metaphlan_SRR13022440	metaphlan_SRR13022441	metaphlan_SRR13022442	metaphlan_SRR13022443	metaphlan_SRR13022444	metaphlan_SRR13022445	metaphlan_SRR13022446	metaphlan_SRR13022447	metaphlan_SRR13022448	metaphlan_SRR13022449	metaphlan_SRR13022450	metaphlan_SRR13022451	metaphlan_SRR13022452	metaphlan_SRR13022453	metaphlan_SRR13022454	metaphlan_SRR13022455	metaphlan_SRR13022456	metaphlan_SRR13022457	metaphlan_SRR13022458	metaphlan_SRR13022459	metaphlan_SRR13022460	metaphlan_SRR13022461	metaphlan_SRR13022462	metaphlan_SRR13022463	metaphlan_SRR13022464	metaphlan_SRR13022465
k__Bacteria	100.0	99.99832	100.0	100.0	100.0	100.0	100.0	100.0	100.0	99.98718	99.97818	99.98705	98.47841	99.96977	99.85757	99.51305	99.9933	100.0	99.29715	98.89158	99.9454	100.0	100.0	100.0	100.0	99.86033	99.988	99.85531	99.99903	99.93265	100.0	100.0	100.0	100.0	100.0	99.98847	100.0	99.98359	99.96524	99.99515	99.99108	100.0	100.0	100.0	100.0	100.0	99.99456	99.9726	100.0	98.59312	99.91519	99.98923	97.94005	99.78613	99.77283	99.19463	99.98639	100.0	100.0	100.0	100.0	100.0	100.0	99.40484	100.0	100.0	99.95448	99.95856	99.96973	99.99563	100.0	100.0	100.0	100.0	98.63626	100.0	98.83571	99.97823	93.82281	98.17336	94.04401	99.71491	99.1327	100.0	99.24388	99.53136	99.77622	99.49527	99.9827	99.90503	99.95684	95.94193	99.70171	99.43806	96.45975	100.0	98.26049	97.87093	98.5659	99.94801	98.72593	92.30664	97.76012	99.91717	100.0	100.0	100.0	99.99421	100.0	100.0	99.95905	100.0	99.99937	99.99543	100.0	99.98	99.99824	100.0	100.0	100.0	97.32884	99.93842	99.75729	99.96925	99.9365	99.99511	99.92482	99.99367	99.99154	100.0	99.98906	99.99452	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	95.57769	99.99122	100.0	100.0	100.0	99.98376	100.0	99.99872	100.0	100.0	100.0	98.44223	100.0	100.0	100.0	99.99857	100.0	100.0	100.0	99.73131	99.99559	99.87051	100.0	99.94949	99.90292	99.99281	99.99212	99.72425	100.0	99.86686	100.0	97.44418	100.0	100.0	100.0	99.86664	100.0	100.0	100.0	100.0	100.0	100.0	100.0	99.96388	100.0	99.99748	99.81399	99.98485	100.0	96.84281	100.0	100.0	100.0	99.97351	100.0	99.95478	99.93146	99.92763	99.93686	99.99264	97.92098	100.0	99.9865	99.99105	95.1791	100.0	100.0	99.96486	100.0	99.6282	100.0	100.0	99.96229	97.20038
k__Bacteria|p__Bacteroidetes	67.24776	63.00529	26.76259	82.13996	81.06699	44.85984	37.24148	59.81586	59.93227	69.12661	63.08689	38.10292	26.53042	44.91295	57.71678	70.10195	52.59993	73.7154	86.31545	32.6529	46.81269	76.87412	56.87635	64.19536	44.97375	38.76749	41.5727	35.8205	34.27695	75.04934	92.38075	78.64967	88.01576	89.63841	82.40911	78.10665	91.49155	61.65666	89.97355	89.37196	71.25744	73.62662	75.06212	69.40001	74.61023	76.60467	48.07811	53.29622	25.05521	13.62819	37.9042	39.48478	58.20651	37.20931	44.42827	38.97208	15.80266	52.54976	52.34497	70.74322	85.10249	92.36217	64.48025	73.32981	72.35722	81.74397	78.80832	70.73738	52.28573	9.41957	49.14028	89.07117	95.99507	30.172	55.22234	48.32782	49.51833	43.55737	52.50823	72.3987	65.91799	58.86056	69.41588	82.51836	55.62779	68.57773	67.62289	35.51285	65.90546	53.02242	82.27174	12.29808	42.21932	51.40792	35.89211	83.4327	23.57797	54.03094	44.12537	49.59962	27.77552	10.72594	26.00932	77.60636	64.78555	79.6454	67.6288	65.90066	72.28506	76.21872	67.15441	66.33611	59.23296	74.5387	69.09659	72.20063	65.9659	74.99294	73.51395	93.06428	61.14728	41.8514	35.35846	44.43383	53.98727	34.01885	49.04683	54.28	55.1272	43.97608	72.61253	83.6613	77.22561	68.0508	91.19689	81.75056	87.31382	48.9289	69.72884	78.51213	29.08334	74.82092	30.82159	73.62482	74.78742	72.27225	69.53867	52.73152	92.56478	70.45254	32.92688	62.14078	68.26807	63.23937	79.12638	72.62735	88.15312	95.73834	78.50543	80.64486	66.45731	76.1467	72.99905	78.30895	71.61383	68.09918	87.96836	83.55226	46.09253	61.87655	83.65424	15.17214	14.39985	53.98396	57.06854	49.31129	69.85889	36.66047	68.00757	85.10195	56.32541	48.85724	71.3194	63.06391	35.11421	63.54118	17.02895	46.44993	19.39693	39.89375	25.84214	26.03537	21.88763	65.98523	74.64676	90.69895	64.39286	80.13283	85.82876	91.49931	44.52835	60.08674	71.2706	41.08885	35.87026	86.95787	70.04171	75.38517	82.62355	36.5122	70.91741	81.27286	59.31419	63.14221
k__Bacteria|p__Firmicutes	30.04921	31.84487	66.64113	13.93703	13.6696	49.31014	57.63918	36.22469	33.07148	28.24474	26.76464	58.66789	68.7559	44.21084	40.16692	25.91649	39.02462	23.41213	9.88596	52.07658	38.70694	18.73505	39.70683	33.47591	47.05425	53.40634	34.13793	54.65567	57.83616	23.73366	4.22095	17.96826	8.96358	6.8689	14.1264	20.35182	5.57848	30.64114	4.94815	6.65182	12.09429	15.73904	22.09186	13.98074	19.01555	16.82182	48.18308	41.05545	63.00257	16.11035	36.90287	47.47843	36.23806	41.76682	33.73044	54.50928	4.55878	5.45819	32.31962	11.77159	6.54313	2.94288	15.17265	21.92529	7.78471	7.54545	14.33187	20.57783	46.1381	76.5407	39.37629	9.88149	3.52826	67.67579	39.73128	48.98225	42.59793	47.25585	31.92596	20.24713	21.75911	34.25754	23.1716	13.53511	24.85175	23.94695	27.09421	36.27717	29.62003	43.85696	14.8748	67.72159	33.90016	19.88913	47.95463	9.85361	61.77026	38.82189	51.04064	37.80479	59.40046	78.28364	24.31229	14.70191	26.35823	16.54366	27.80635	21.51065	18.36637	18.93369	24.43982	24.84182	26.77227	16.3681	22.14449	14.92661	26.49419	15.19355	20.63223	3.00971	33.01195	48.63968	52.90344	35.94799	39.44382	55.04271	32.17317	31.38213	24.2594	52.22191	25.61978	12.56953	16.89702	29.84669	4.90224	9.94036	7.37261	38.59929	25.71504	18.72814	54.47318	18.67713	60.7564	21.0537	16.54936	20.58216	17.9938	28.81506	4.64284	19.3582	22.63921	32.10803	7.93542	15.48806	8.00145	5.56717	8.41467	1.48662	19.76613	15.3456	31.51506	10.2998	21.65032	11.74121	25.44556	28.04862	7.98788	9.14363	31.24609	32.44773	12.27149	76.04941	14.89731	36.44089	25.62929	46.21703	23.45221	46.74987	29.64589	12.17952	30.20527	35.26088	21.9095	36.65601	46.28591	30.33506	76.59071	47.94108	53.59665	54.3215	67.62772	67.90133	74.71365	32.20668	23.33083	8.72588	34.78946	14.19884	12.87702	4.07406	48.52011	39.30046	21.4929	11.26558	48.2196	10.27815	26.81228	19.72585	16.99398	57.72624	26.85661	15.90814	35.94768	31.69322
k__Bacteria|p__Proteobacteria	1.88085	4.48774	5.78403	1.07058	3.74083	5.00768	2.55021	3.53937	6.67815	1.90756	6.81187	2.35313	1.0847	0.65294	1.2806	2.74184	0.83605	1.04938	1.19192	8.29923	11.77408	0.58968	1.40607	2.17522	5.0103	4.34967	6.91142	2.776	4.68858	0.91551	3.22082	2.93286	2.81091	3.11057	3.30594	1.02076	2.59072	4.99649	1.8688	3.77676	1.90128	3.27499	0.85797	3.83404	4.97682	3.52804	1.69776	3.63447	10.18931	3.01037	6.86878	2.53461	2.72976	2.64684	0.88472	1.25943	6.0024	1.6747	0.90122	5.63309	2.84567	1.31864	1.62071	2.81727	1.22342	1.14325	4.75024	7.1515	0.46656	1.03951	10.33273	1.03991	0.39969	1.72435	2.08638	0.99955	1.30231	6.02132	1.0809	0.75781	1.2765	1.21225	1.14972	3.45566	3.94671	2.9853	3.72256	2.30356	3.16575	1.52405	1.83484	0.49509	1.61887	1.52106	0.57128	6.63296	0.58455	1.39994	1.10186	8.94398	0.36321	0.32889	1.03453	0.76869	1.35495	0.97146	3.80068	5.39349	3.67744	1.66295	5.01632	2.20503	3.5342	4.81645	2.81718	8.3748	4.93425	9.35332	5.48732	2.72437	2.37262	5.09049	8.56466	8.04058	4.33531	6.36909	13.79768	7.79086	17.90317	3.03693	0.91104	1.21776	5.49771	1.69556	3.64161	8.30244	5.29915	1.89651	1.10347	0.99003	0.85944	5.19837	2.29663	1.70546	8.19841	4.8712	11.15011	17.74322	2.32398	9.57737	11.13825	3.22393	20.39268	20.06848	7.85507	21.50424	3.29599	2.42682	0.98086	0.68194	0.54283	0.87049	3.57152	0.82151	1.05458	2.43397	0.60546	1.55527	2.19313	1.15781	1.03086	4.59927	13.79529	6.76942	1.31491	2.57422	5.38062	2.29176	1.75592	1.91524	5.4539	5.7804	2.91791	0.17745	6.15768	1.08478	3.42653	3.40008	24.00682	1.32397	5.60227	3.04275	1.9959	0.79103	0.83614	0.33119	0.53638	5.3403	0.66073	4.26002	1.76042	0.11324	2.50344	37.63845	6.55207	2.51476	2.2835	1.12005	0.36134	3.10169	1.38168	0.93849	3.2978	1.11075
k__Bacteria|p__Actinobacteria	0.46803	0.46133	0.71796	0.09899	1.42473	0.62041	2.32568	0.30533	0.24673	0.52827	0.89	0.60642	0.72334	0.2298	0.22803	0.33984	1.97197	1.68812	0.29869	0.76567	1.86875	3.73692	1.98186	0.14921	0.11828	0.5326	0.53552	1.16788	0.45811	0.22136	0.17507	0.39725	0.14855	0.35125	0.10984	0.15675	0.0669	2.59364	0.00511	0.10958	0.96353	0.66026	0.39881	0.75674	0.55144	0.89886	0.68298	1.48503	1.36446	0.32946	1.9319	1.20737	0.71826	4.89015	5.90989	4.01601	0.00613	0.01346	0.19079	0.03498	0.01197	0.0	0.02505	1.30289	0.0	0.04193	0.05436	0.1175	0.84787	2.33116	0.84705	0.00163	0.02263	0.34881	0.19833	1.52752	0.6975	1.93133	1.39617	0.7099	0.46639	1.17725	0.83274	0.15122	0.76354	0.89301	0.89126	0.57077	0.88663	0.75458	0.95178	1.78756	0.52384	0.49227	2.97686	0.0	1.58637	0.9892	1.16772	2.23675	2.04965	2.34644	0.24546	0.27833	0.49074	0.3391	0.4412	1.14715	0.49253	0.5578	1.5628	0.73919	1.83001	0.91708	0.19213	2.52917	0.33756	0.44429	0.36649	0.03178	0.6741	2.54217	1.28693	4.41706	0.90919	1.39597	3.8089	6.16263	1.95335	0.63427	0.81527	0.0422	0.05818	0.40695	0.03321	0.00605	0.0	1.80734	3.07703	0.89827	0.95633	0.37617	3.45487	0.51195	0.26756	0.56905	1.20993	0.6957	0.46545	0.41879	0.31338	0.61229	0.02608	0.08385	0.03045	0.04604	0.02126	0.18448	0.58623	0.10601	0.02938	0.46501	0.9449	0.18648	0.13306	1.2281	0.22789	0.10654	0.78031	0.91557	0.15121	1.07927	0.07703	0.97516	1.16877	1.21637	0.38315	3.27745	0.27685	0.0633	1.46681	1.33845	3.78511	0.02967	0.06035	4.73198	2.45958	1.45734	1.6166	0.54822	0.51219	1.87933	1.15166	0.01022	0.83247	0.13465	0.18714	0.13744	0.09218	0.03653	1.03951	0.36998	0.18405	0.18857	1.43601	0.06788	0.08438	0.03875	0.0	1.46137	0.46544	0.19622	1.24849	1.16019
k__Bacteria|p__Bacteria_unclassified	0.35272	0.17594	0.09429	0.0	0.05958	0.17382	0.13446	0.11165	0.06959	0.07621	0.0	0.0	0.02408	0.0	0.04158	0.0	0.0	0.03476	0.01908	0.1301	0.00255	0.06151	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00497	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.27756	0.04744	0.08846	0.09851	0.0	0.64236	0.23277	0.36691	0.0	0.0	0.05026	0.0	0.0	0.0	0.0	0.00378	0.0	0.0	0.0	0.0	0.0	0.35645	0.2342	0.0	0.0	0.0	0.0	0.03479	0.16918	0.0	0.23332	0.08956	0.09481	0.0462	0.36699	0.0	0.01606	0.01561	0.02037	0.04643	0.00563	0.0	0.0	0.20216	0.01785	0.20415	0.07916	0.0	0.05807	0.16749	0.04812	0.0	0.12559	0.0896	0.01473	0.02357	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02278	0.0	0.0	0.0	0.00303	0.0	0.0	0.0	0.00106	0.0	0.0	0.06257	0.0	0.0	0.0	0.0	0.0	0.5824	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06447	0.00352	0.0	0.00078	0.0	0.0	0.0	0.03872	0.0	0.03249	0.0109	0.09583	0.0	0.00705	0.0	0.0	0.0	0.07046	0.06184	0.01166	0.0	0.0	0.0	0.0	0.0	0.00317	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01892	0.0	0.52536	1.12052	0.01589	0.31961	0.89315	0.22906	0.0	0.00671	0.0	0.01559	0.0	0.0	0.0	0.01424	0.0	0.0	0.0	0.0	0.0	0.0	0.09767	0.0	0.0	0.00462	0.01495	0.00336	0.02499
k__Bacteria|p__Verrucomicrobia	0.00143	0.02315	0.0	2.75345	0.03827	0.0281	0.10898	0.0031	0.00178	0.10378	0.11243	0.25669	1.0719	0.0183	0.21146	0.41293	3.98818	0.09176	1.58606	4.9671	0.01292	0.0	0.01814	0.0043	0.0076	0.09566	0.0	0.64812	0.02208	0.0	0.0	0.0	0.0	0.0	0.00583	0.35249	0.24481	0.0	3.16962	0.08504	13.71046	6.60829	1.58925	12.00242	0.66885	2.14661	0.03654	0.0	0.009	65.44272	16.12134	8.74377	0.04746	12.47756	14.58675	0.01668	73.61642	40.30389	14.13212	11.8063	5.47463	3.37273	18.70134	0.02579	18.56256	9.52539	0.00604	0.0	0.23006	10.09644	0.05392	0.0058	0.0098	0.00961	1.18725	0.00263	4.55045	0.87172	6.66483	3.97026	4.52921	4.16112	4.19578	0.33965	14.03802	3.11276	0.42493	24.76384	0.08642	0.72944	0.02369	13.3086	21.39758	25.8904	8.86189	0.08073	10.57919	2.43397	1.08219	1.24062	8.96172	0.5036	46.14004	6.36471	6.94138	2.49768	0.18436	6.03735	5.11824	2.62526	1.75155	5.83425	8.58638	3.34594	0.03766	1.94879	0.0124	0.0	0.0	1.16986	0.1001	0.0132	0.0	0.14399	0.0	0.23875	0.05475	0.01133	0.00919	0.0823	0.03044	2.37114	0.0	0.0	0.22605	0.00059	0.01441	8.1724	0.02762	0.07644	10.20541	0.21692	0.01851	0.00963	0.03305	0.1999	0.0176	0.00266	0.00295	0.19311	32.91274	0.35367	3.19395	0.06835	4.90962	0.03102	0.00267	0.0	0.0	2.87684	1.1458	11.89743	0.04175	8.5099	0.9307	0.12767	2.59509	5.29608	19.6261	3.44978	2.67617	0.48333	56.68999	0.24454	14.81848	0.4666	0.39991	11.02045	0.29003	0.07857	0.06917	0.01466	0.0	0.03684	0.00085	0.21258	0.30729	0.16237	0.0236	0.73949	0.05262	0.18845	0.0221	0.98035	0.11208	0.06411	0.0	0.06077	0.27171	0.12271	2.05835	0.04222	4.52075	9.8096	0.7751	0.18134	0.05025	1.41793	0.0	0.24933	0.08803	1.66934	0.0	0.06902
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	66.2547	62.54614	25.95647	82.13996	80.09424	43.46312	36.08331	58.97987	57.17617	68.4867	62.4553	37.5803	26.53042	44.91295	57.71678	65.55968	52.59993	73.7154	86.31545	32.6529	46.33459	76.62624	56.6946	57.99211	41.60085	32.51511	37.29048	19.93745	31.09156	74.54259	92.38075	78.64967	88.01576	89.63841	82.40911	78.10665	91.49155	61.65666	89.97355	88.84414	71.25744	73.62662	75.06212	69.40001	74.61023	76.60467	43.49988	53.04795	24.35574	13.62819	37.87602	39.48478	57.19497	37.17569	44.42827	38.97208	15.80266	52.54976	52.34497	70.74322	85.10249	92.36217	64.48025	72.11354	72.35722	81.74397	77.71023	69.45262	50.94084	9.41957	47.85727	89.07117	95.99507	30.172	54.29128	48.32782	49.51833	43.20448	52.50823	72.3987	65.91799	58.86056	69.41588	82.51836	55.62779	68.57773	67.62289	35.51285	65.30218	53.02242	82.27174	12.29808	42.21932	51.40792	35.06958	83.4327	23.57797	53.9285	44.05595	48.83166	27.73182	10.67698	26.00932	77.60636	64.78555	79.6454	67.6288	65.90066	72.28506	76.21872	67.15441	66.33611	59.23296	74.5387	64.82228	72.20063	65.9659	74.99294	73.51395	93.06428	59.89706	41.69742	34.88555	44.17986	53.74552	29.54862	48.70271	54.20618	54.91075	43.88093	70.72455	83.6613	77.22561	68.0508	91.19689	81.75056	87.31382	48.9289	69.72884	78.51213	28.63133	74.82092	30.82159	73.62482	74.78742	72.26315	69.53867	52.73152	92.56478	70.44645	32.92688	61.0434	68.26807	63.23937	79.12638	72.62735	88.15312	95.73834	78.50543	80.64486	66.45731	76.1467	72.99905	78.30895	71.61383	67.75156	87.96836	83.55226	46.08027	61.87655	83.65424	12.95096	14.39985	53.98396	57.06854	48.27323	69.85889	36.66047	68.00757	85.10195	49.96307	40.84349	70.4648	61.56286	30.33151	63.14724	17.02895	45.84667	18.70018	39.22178	24.96661	25.56861	21.5827	65.98523	73.73717	90.69895	64.39286	80.13283	85.82876	90.81698	43.5218	60.08674	71.2706	41.08885	29.20635	86.95787	70.04171	75.38517	82.62355	35.29623	70.91741	81.27286	59.10864	61.2026
k__Bacteria|p__Firmicutes|c__Clostridia	25.8691	27.18329	55.69577	11.85126	8.00184	42.44869	44.39648	27.25773	28.59012	24.11303	17.43705	41.37127	55.61808	37.27054	32.24338	6.85123	29.56292	18.02592	5.31172	37.20319	25.03955	15.2901	36.10552	30.25511	40.48441	46.19215	27.78965	43.92546	48.70204	17.99557	0.96324	13.06832	4.14136	4.45747	9.64279	16.92993	2.2215	17.3247	3.64863	3.55221	10.40655	11.92337	20.41725	10.5414	12.78868	14.93762	38.70364	30.48937	56.35651	12.59753	32.00138	37.10994	21.09729	29.60439	24.74691	46.6996	2.49381	3.66178	16.76286	7.74159	4.72273	1.75079	10.51635	13.07558	5.47956	6.35283	9.74162	15.81683	37.77378	36.65399	30.37797	8.10119	3.30904	59.91569	17.84068	45.29678	27.52217	30.01295	26.20585	14.19887	14.06519	20.10876	17.84039	12.13377	14.62278	17.01848	18.30607	23.43779	21.10413	37.7012	9.90581	36.80467	17.63177	14.42487	26.97043	6.15758	32.44132	24.86772	24.35291	27.21901	33.08508	45.20299	17.8046	12.02622	22.98813	15.37989	23.2099	17.29062	15.56072	17.21328	20.5562	22.04953	23.33848	13.00231	18.38064	9.11107	21.84773	12.19217	18.5267	1.31482	18.23144	38.0835	35.43019	21.69938	23.03917	43.89119	23.9709	24.18027	16.18515	42.3321	19.03726	8.21688	12.50847	22.20229	4.41858	8.27784	2.29319	20.82577	19.03263	15.68838	32.30112	16.6647	43.94966	17.81611	13.01662	14.7141	12.55338	7.99968	3.89464	13.53552	5.77468	19.32036	4.85309	12.88935	5.56751	4.16147	4.48328	0.90396	16.49003	4.94949	6.24091	9.419	16.2375	9.24069	13.12045	18.7016	6.92148	5.26287	10.69743	27.63093	10.53249	54.39961	11.00948	30.16546	20.62494	31.23308	22.72674	43.44897	26.35834	8.93815	27.76471	31.25697	14.51988	32.7951	44.07219	25.16359	36.82521	39.18492	45.9174	31.73935	52.15971	57.85813	66.76762	28.70915	21.37239	6.69295	31.37814	8.6288	10.53357	2.27045	27.30603	35.02172	18.76426	9.77649	32.81925	5.12587	9.7557	16.3886	13.49611	34.12668	23.15653	12.2441	29.46278	21.28492
k__Bacteria|p__Firmicutes|c__Negativicutes	2.20348	2.12553	1.37261	0.53342	4.52671	3.38668	3.51246	3.14035	1.47242	2.29172	0.06329	3.74693	2.45941	2.64709	2.17231	0.89765	1.29543	2.42773	3.1555	6.39811	0.07478	1.38363	2.60748	1.09752	0.5692	0.40346	0.70793	0.64085	0.72817	1.64298	2.94531	2.33784	1.88693	1.55258	3.4511	0.03391	2.36616	8.76814	0.36943	0.3262	0.66439	0.60769	0.42548	0.34728	3.64833	0.67723	2.7538	0.08959	1.12278	0.53034	1.77499	2.66511	0.47163	5.46508	5.69846	2.50357	1.96153	1.09936	11.2108	3.43148	1.22025	0.46556	3.75195	0.68561	1.70265	0.89578	2.9478	1.57215	1.98213	13.85786	1.99367	1.24314	0.13042	7.37443	1.06033	1.21764	7.33711	0.06183	1.09991	3.42423	4.06316	3.19734	3.25233	0.81582	5.07135	2.10505	5.85832	3.94299	0.00429	0.34903	2.67731	1.174	2.74922	1.00848	2.1277	1.49216	1.77713	0.67596	0.76402	0.06276	3.75048	2.29036	0.24056	0.14279	1.48949	0.47402	3.07965	2.96008	1.76517	0.74238	1.90349	1.04489	1.41706	1.66417	0.47088	0.58934	2.54281	1.44685	1.6475	1.44411	1.28122	0.02344	0.07041	0.07993	0.07716	1.32009	0.13862	0.09899	0.02758	0.0	0.02092	3.71526	2.76598	0.59592	0.35804	0.76338	2.60605	14.73811	0.55286	0.83168	0.46025	0.55911	2.58712	0.39749	0.17958	0.29683	0.34925	0.15403	0.44514	0.83171	14.75598	0.22098	2.64659	1.12816	1.82255	0.71	3.35835	0.2549	1.31441	0.18544	0.17542	0.15133	3.77941	0.25066	0.16918	0.02846	0.17489	0.23709	0.54054	0.42123	0.13101	1.9558	0.92516	4.69003	2.57506	0.27147	0.52316	1.47959	2.79776	3.2372	1.43234	2.88281	6.68694	0.08871	1.25606	1.88391	14.39832	1.30486	0.95362	0.7369	1.56064	1.10751	1.58587	0.5258	0.63287	0.64304	0.04694	2.64447	0.75657	1.76971	0.89158	0.62123	0.36511	0.17785	2.1143	4.95429	16.25722	0.98511	3.41998	4.15131	2.69156	1.47219	0.06044	0.26436
