#mpa_vOct22_CHOCOPhlAnSGB_202212
clade_name	metaphlan_SRR6000869	metaphlan_SRR6000870	metaphlan_SRR6000871	metaphlan_SRR6000873	metaphlan_SRR6000874	metaphlan_SRR6000877	metaphlan_SRR6000878	metaphlan_SRR6000890	metaphlan_SRR6000891	metaphlan_SRR6000892	metaphlan_SRR6000893	metaphlan_SRR6000894	metaphlan_SRR6000895	metaphlan_SRR6000896	metaphlan_SRR6000899	metaphlan_SRR6000900	metaphlan_SRR6000901	metaphlan_SRR6000902	metaphlan_SRR6000903	metaphlan_SRR6000905	metaphlan_SRR6000906	metaphlan_SRR6000907	metaphlan_SRR6000908	metaphlan_SRR6000909	metaphlan_SRR6000910	metaphlan_SRR6000911	metaphlan_SRR6000912	metaphlan_SRR6000920	metaphlan_SRR6000921	metaphlan_SRR6000931	metaphlan_SRR6000932	metaphlan_SRR6000940	metaphlan_SRR6000942	metaphlan_SRR6000944	metaphlan_SRR6000945	metaphlan_SRR6000946	metaphlan_SRR6000947	metaphlan_SRR6000949
k__Bacteria	100.0	99.93519	100.0	99.96074	100.0	99.97762	100.0	99.99132	99.9632	99.11451	99.93968	99.99123	99.99344	100.0	100.0	100.0	100.0	99.95202	100.0	100.0	99.97061	99.22581	99.84241	99.80515	100.0	99.81546	100.0	100.0	99.95391	99.94025	99.53723	99.88929	99.879	99.98373	100.0	97.88502	99.98544	100.0
k__Bacteria|p__Firmicutes	51.97802	40.24924	8.14176	24.09152	38.12939	19.54814	22.25625	32.14704	30.85415	47.44732	61.45463	34.04196	26.33686	14.92225	36.30249	42.62386	16.89513	30.88251	52.29991	35.19121	72.91605	59.24659	38.08422	58.30228	39.55827	24.35965	14.89172	33.01374	26.8932	48.61073	49.2566	38.68575	41.85369	18.28334	14.47685	34.34352	33.11932	43.24716
k__Bacteria|p__Bacteroidetes	44.19237	52.0672	90.53848	67.47616	56.97393	67.66925	73.67466	61.44763	66.84364	29.78054	30.7465	56.44634	70.39535	79.37809	55.16487	55.24215	55.3708	67.17864	14.53875	48.8458	21.94963	30.4709	58.9074	33.4111	56.15605	68.46812	81.12546	53.32336	69.03992	42.46883	38.71838	45.50464	53.29676	79.43827	75.48998	45.38654	63.16388	54.12878
k__Bacteria|p__Proteobacteria	1.40184	4.82637	1.30599	3.91181	3.24041	4.17976	1.50906	4.71325	1.63192	1.43164	2.78134	4.10644	2.31956	3.36717	0.44301	0.45496	5.16424	0.71332	2.485	7.05929	1.55072	4.59393	2.31047	0.28246	3.11073	2.81941	3.3746	7.53998	2.37679	5.63802	3.1552	3.68292	1.22608	0.87433	9.94211	1.36086	1.21216	0.4493
k__Bacteria|p__Actinobacteria	1.28616	2.23719	0.01213	2.81265	1.55259	0.25766	2.13888	1.00225	0.11905	1.3904	0.46167	2.76107	0.7616	0.26441	3.19545	1.67903	7.49093	1.15467	30.67507	2.81291	0.43821	3.11384	0.54032	3.11004	1.17495	0.69016	0.49499	1.93149	0.1324	2.97008	3.2502	9.4314	1.24085	0.1085	0.09105	3.50532	0.20877	1.96192
k__Bacteria|p__Verrucomicrobia	1.10158	0.39234	0.0	1.43414	0.09925	8.32103	0.42115	0.0	0.05209	19.00669	1.6728	2.52415	0.00705	0.0	4.574	0.0	15.07828	0.0	0.0	5.32608	1.59828	1.31626	0.0	4.36206	0.0	2.07889	0.0	4.18628	1.0177	0.02307	4.53637	0.0	1.96919	0.17333	0.0	8.87077	0.84312	0.21144
k__Bacteria|p__Synergistetes	0.03976	0.0	0.0	0.1142	0.00443	0.0	0.0	0.0	0.0	0.0	0.01852	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07084	0.02934	0.39724	0.0	0.0	0.0	0.10895	0.0	0.0	0.0	0.0	0.16679	2.27973	0.23598	0.00593	0.0	4.39779	0.0	0.0
k__Bacteria|p__Bacteria_unclassified	0.00026	0.07542	0.0	0.0	0.0	0.00044	0.0	0.0	0.00432	0.03798	0.16323	0.05336	0.01073	0.0	0.03784	0.0	0.0	0.02287	0.0	0.0	0.06858	0.08407	0.0	0.33621	0.0	0.02268	0.0	0.0	0.02853	0.09589	0.07803	0.25862	0.05266	0.08794	0.0	0.0	0.00304	0.0
k__Bacteria|p__Firmicutes|c__Clostridia	44.85167	29.40317	6.29023	17.53734	35.75319	14.9104	16.38958	27.31757	16.52187	26.40229	36.61675	22.51071	18.60357	7.99825	32.56769	36.13659	13.14517	25.30343	44.29889	32.38956	39.3129	39.07227	34.70398	45.20077	35.57647	14.97861	13.67358	26.78256	24.11904	34.62212	31.89198	27.63532	23.47493	15.73882	11.83014	16.07249	25.66495	30.96638
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	44.19237	51.28059	90.53848	67.47616	56.97393	67.66925	73.67466	60.97966	66.84364	29.68886	30.7465	56.44634	56.33416	79.16561	55.16089	55.24215	55.3708	67.17864	14.53875	48.8458	21.94963	30.4709	58.9074	33.31745	56.15605	68.46812	81.12546	53.32251	68.97841	41.45377	38.71838	44.60587	53.29676	79.43827	75.48998	45.1502	63.12959	52.0471
