#mpa_vOct22_CHOCOPhlAnSGB_202212
clade_name	metaphlan4d_SRR9033715	metaphlan4d_SRR9033716	metaphlan4d_SRR9033717	metaphlan4d_SRR9033718	metaphlan4d_SRR9033719	metaphlan4d_SRR9033720	metaphlan4d_SRR9033721	metaphlan4d_SRR9033722	metaphlan4d_SRR9033723	metaphlan4d_SRR9033724	metaphlan4d_SRR9033725	metaphlan4d_SRR9033726	metaphlan4d_SRR9033727	metaphlan4d_SRR9033728	metaphlan4d_SRR9033729	metaphlan4d_SRR9033730	metaphlan4d_SRR9033731	metaphlan4d_SRR9033732	metaphlan4d_SRR9033733	metaphlan4d_SRR9033734	metaphlan4d_SRR9033735	metaphlan4d_SRR9033736	metaphlan4d_SRR9033737	metaphlan4d_SRR9033738	metaphlan4d_SRR9033739	metaphlan4d_SRR9033740	metaphlan4d_SRR9033741	metaphlan4d_SRR9033742	metaphlan4d_SRR9033743	metaphlan4d_SRR9033744	metaphlan4d_SRR9033745	metaphlan4d_SRR9033746	metaphlan4d_SRR9033747	metaphlan4d_SRR9033748	metaphlan4d_SRR9033749	metaphlan4d_SRR9033750	metaphlan4d_SRR9033751	metaphlan4d_SRR9033752	metaphlan4d_SRR9033753	metaphlan4d_SRR9033754	metaphlan4d_SRR9033755	metaphlan4d_SRR9033756	metaphlan4d_SRR9033757	metaphlan4d_SRR9033758	metaphlan4d_SRR9033759	metaphlan4d_SRR9033760	metaphlan4d_SRR9033761
k__Bacteria	99.96101	100.0	100.0	99.9643	99.64038	99.99765	100.0	99.90287	99.90077	99.92148	99.82921	100.0	100.0	100.0	100.0	100.0	99.90933	99.58901	100.0	99.9011	100.0	100.0	99.30828	99.99674	99.91568	99.18377	100.0	99.99337	99.91023	100.0	99.96708	100.0	99.95074	100.0	99.95144	99.86444	100.0	99.97001	100.0	99.99258	99.96791	99.8884	99.95825	100.0	98.39864	100.0	99.95857
k__Archaea	0.03282	0.0	0.0	0.0357	0.35962	0.00235	0.0	0.09713	0.09923	0.07772	0.17079	0.0	0.0	0.0	0.0	0.0	0.09067	0.41099	0.0	0.0989	0.0	0.0	0.69172	0.00326	0.08432	0.81623	0.0	0.00663	0.08977	0.0	0.03292	0.0	0.04926	0.0	0.04856	0.13556	0.0	0.02999	0.0	0.00742	0.03209	0.1116	0.04175	0.0	1.60136	0.0	0.04143
k__Eukaryota	0.00618	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00081	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidetes	76.295	32.77142	42.09465	22.95962	34.38838	31.01815	39.37602	42.03545	34.64119	66.97329	32.29301	39.39755	51.81305	81.53086	55.28915	60.54089	41.92037	53.81631	54.6552	37.42377	58.10877	68.01481	40.72218	12.91962	17.47574	32.37246	61.72714	27.83955	51.7667	38.90116	32.35974	60.63542	34.20609	66.60273	30.3679	29.77784	47.08715	35.42827	28.29741	39.81183	37.60828	28.98897	43.32645	52.53843	22.90919	53.09798	57.58779
k__Bacteria|p__Firmicutes	15.46105	65.5092	51.63136	63.53803	59.51481	66.20944	58.24944	54.62252	47.9426	28.23787	54.2844	54.71532	45.55498	18.46914	44.60102	23.61079	42.92629	35.47223	35.74321	51.93842	40.38822	31.98519	48.84041	84.26182	71.83524	51.75829	36.58377	67.16574	46.57768	59.32658	58.1398	24.20142	61.61519	25.71461	59.52945	53.63277	36.60325	56.27414	68.31268	55.17797	52.88082	56.98378	54.2214	39.87149	66.75608	33.98405	40.72557
k__Bacteria|p__Proteobacteria	5.07137	0.37698	2.71691	7.0514	2.16278	1.67777	1.60691	1.19063	1.95948	1.15628	1.25532	0.34738	1.50757	0.0	0.0	10.51728	3.48604	2.44256	8.83597	3.27074	0.0	0.0	4.87173	1.28648	3.43854	4.20636	0.0	1.10204	1.11665	0.02758	5.56761	14.08198	0.33592	3.19321	4.67487	1.44234	13.7366	4.35906	0.13931	0.53451	4.11517	1.41304	1.70745	7.0498	1.7006	4.07025	1.26911
k__Bacteria|p__Fusobacteria	2.28265	0.0	0.0	0.0067	0.0	0.0	0.0	0.00793	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.40026	0.0	0.0	0.00834	0.0	0.0	0.0	0.0	0.27561	0.0	0.0	0.17348	0.00636	0.0	0.0	0.0	0.0	0.0	0.28364	0.0	0.04606	3.98786	0.0	0.00058	0.0	0.0	0.0	0.0
k__Bacteria|p__Verrucomicrobia	0.6877	0.00291	2.35584	4.29325	2.41429	0.0	0.0	0.88103	3.9365	0.0	3.30949	0.01173	0.0	0.0	0.0	0.21993	0.60108	0.65838	0.0	0.32042	0.0	0.0	1.1011	0.07489	3.05475	6.97202	1.26347	0.8605	0.0	1.51447	0.20716	0.13163	1.72082	0.0	0.01477	10.67497	1.37346	2.18065	1.11946	2.19912	0.95572	2.43072	0.07737	0.0	3.80706	0.0	0.0
k__Bacteria|p__Lentisphaerae	0.07963	0.0	0.13358	9e-05	0.02128	0.0	0.0	0.0	0.0	0.0	0.0	0.00383	0.00753	0.0	0.0	0.0	0.0	0.0	0.0217	0.19895	0.0	0.0	0.00552	0.02059	0.01732	0.0	0.0	0.0	0.0	0.0	0.18179	0.0	0.0	0.0	0.0	0.0	0.01316	0.16228	0.0	0.0003	0.19443	0.0	0.0	0.0	0.04231	0.0923	0.0
k__Bacteria|p__Actinobacteria	0.07641	1.33949	0.53602	1.61987	0.58998	1.09122	0.75564	0.95979	11.421	2.67067	3.52385	5.49442	1.11447	0.0	0.05152	5.10987	10.92291	6.72289	0.71173	0.26468	1.50302	0.0	0.71835	0.22031	2.42894	3.32459	0.42563	2.73264	0.4492	0.23021	1.68654	0.90477	1.16925	4.48946	5.33039	4.33652	0.42572	1.23358	2.09553	2.2167	0.16027	10.07189	0.53906	0.53976	0.45507	8.75068	0.35873
k__Archaea|p__Thaumarchaeota	0.03282	0.0	0.0	0.0357	0.0	0.00235	0.0	0.09713	0.09923	0.05982	0.08975	0.0	0.0	0.0	0.0	0.0	0.09035	0.08193	0.0	0.00731	0.0	0.0	0.03394	0.00326	0.02088	0.00608	0.0	0.00663	0.08977	0.0	0.02399	0.0	0.04609	0.0	0.04856	0.13556	0.0	0.02999	0.0	0.00742	0.03209	0.1116	0.04175	0.0	0.0	0.0	0.04143
k__Eukaryota|p__Ascomycota	0.00618	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00081	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Synergistetes	0.00444	0.0	0.03904	0.0	0.1005	0.00107	0.0	0.0905	0.0	0.03477	0.0	0.0	0.0	0.0	0.0	0.00071	0.0432	0.30485	0.0	0.00781	0.0	0.0	0.07709	0.0	0.01059	0.12354	0.0	0.0	0.0	0.0	0.94965	0.0	0.09293	0.0	0.0	0.0	0.0	0.04837	0.03562	0.00608	0.0	0.0	0.08006	0.0	0.19066	0.00473	0.0
k__Bacteria|p__Bacteria_unclassified	0.00276	0.0	0.15495	0.0	0.01516	0.0	0.0	0.11501	0.0	0.02658	0.48826	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00553	0.0	0.0	0.00974	0.17941	0.02448	0.0	0.0	0.0173	0.0	0.0	0.00719	0.0	0.72349	0.0	0.0	0.0	0.02397	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01502	0.0	0.01737
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	75.05083	13.4431	42.09465	22.77793	34.38838	31.01815	39.37602	42.03104	34.64119	66.88452	31.93476	39.38513	51.81305	81.53086	55.28915	60.54089	41.91973	53.81612	54.6552	35.82356	58.10877	68.01481	33.70237	11.20256	9.9328	23.67229	61.72714	27.83874	51.7667	38.90116	25.39472	60.63542	34.12103	66.60273	30.3679	29.77784	47.08715	35.09432	28.29741	39.81183	35.78635	28.98747	43.32639	52.53843	22.89978	52.23988	57.58779
k__Bacteria|p__Firmicutes|c__Clostridia	11.70839	62.04115	35.04195	48.69589	39.27772	56.1651	55.06055	33.88109	40.8115	19.20721	37.91979	49.77926	40.89386	18.46914	35.24212	20.73767	39.57626	32.43346	30.51629	36.69952	24.00679	22.0433	33.66671	69.32817	48.25562	37.62868	36.10445	61.67463	35.78896	54.64428	47.20952	19.76281	57.40114	22.32466	53.69419	48.10284	27.33107	45.52398	58.70306	48.30591	40.64418	49.91334	42.22253	30.5277	35.8307	23.30204	32.05524
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	2.28265	0.0	0.0	0.0067	0.0	0.0	0.0	0.00793	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.40026	0.0	0.0	0.00834	0.0	0.0	0.0	0.0	0.27561	0.0	0.0	0.0	0.00636	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.98786	0.0	0.00058	0.0	0.0	0.0	0.0
