#mpa_vOct22_CHOCOPhlAnSGB_202212
clade_name	metaphlan_SRR16554624	metaphlan_SRR16554625	metaphlan_SRR16554626	metaphlan_SRR16554627	metaphlan_SRR16554628	metaphlan_SRR16554629	metaphlan_SRR16554630	metaphlan_SRR16554631	metaphlan_SRR16554632	metaphlan_SRR16554633	metaphlan_SRR16554634	metaphlan_SRR16554635	metaphlan_SRR16554636	metaphlan_SRR16554637	metaphlan_SRR16554638	metaphlan_SRR16554639	metaphlan_SRR16554640	metaphlan_SRR16554641	metaphlan_SRR16554642	metaphlan_SRR16554643	metaphlan_SRR16554644	metaphlan_SRR16554645	metaphlan_SRR16554646	metaphlan_SRR16554647	metaphlan_SRR16554648	metaphlan_SRR16554649	metaphlan_SRR16554650	metaphlan_SRR16554651	metaphlan_SRR16554652	metaphlan_SRR16554653	metaphlan_SRR16554654	metaphlan_SRR16554655	metaphlan_SRR16554656	metaphlan_SRR16554657	metaphlan_SRR16554658	metaphlan_SRR16554659	metaphlan_SRR16554660	metaphlan_SRR16554661	metaphlan_SRR16554662	metaphlan_SRR16554663	metaphlan_SRR16554664	metaphlan_SRR16554665	metaphlan_SRR16554666	metaphlan_SRR16554667	metaphlan_SRR16554668	metaphlan_SRR16554669	metaphlan_SRR16554670	metaphlan_SRR16554671	metaphlan_SRR16554672	metaphlan_SRR16554673	metaphlan_SRR16554674	metaphlan_SRR16554675	metaphlan_SRR16554678	metaphlan_SRR16554679	metaphlan_SRR16554680	metaphlan_SRR16554681	metaphlan_SRR16554684	metaphlan_SRR16554686	metaphlan_SRR16554687	metaphlan_SRR16554689	metaphlan_SRR16554691	metaphlan_SRR16554692	metaphlan_SRR16554693	metaphlan_SRR16554694	metaphlan_SRR16554695	metaphlan_SRR16554696	metaphlan_SRR16554697	metaphlan_SRR16554698	metaphlan_SRR16554699	metaphlan_SRR16554700	metaphlan_SRR16554701	metaphlan_SRR16554702	metaphlan_SRR16554703	metaphlan_SRR16554704	metaphlan_SRR16554705	metaphlan_SRR16554706	metaphlan_SRR16554707	metaphlan_SRR16554708	metaphlan_SRR16554710	metaphlan_SRR16554711	metaphlan_SRR16554712	metaphlan_SRR16554713	metaphlan_SRR16554714	metaphlan_SRR16554715	metaphlan_SRR16554716	metaphlan_SRR16554717	metaphlan_SRR16554718	metaphlan_SRR16554719	metaphlan_SRR16554720	metaphlan_SRR16554721	metaphlan_SRR16554722	metaphlan_SRR16554723	metaphlan_SRR16554724	metaphlan_SRR16554725	metaphlan_SRR16554726	metaphlan_SRR16554727	metaphlan_SRR16554728	metaphlan_SRR16554729	metaphlan_SRR16554730	metaphlan_SRR16554731	metaphlan_SRR16554732	metaphlan_SRR16554733	metaphlan_SRR16554734	metaphlan_SRR16554735	metaphlan_SRR16554736	metaphlan_SRR16554737	metaphlan_SRR16554738	metaphlan_SRR16554739	metaphlan_SRR16554740	metaphlan_SRR16554742	metaphlan_SRR16554743	metaphlan_SRR16554744	metaphlan_SRR16554745	metaphlan_SRR16554746	metaphlan_SRR16554747	metaphlan_SRR16554748	metaphlan_SRR16554749	metaphlan_SRR16554750	metaphlan_SRR16554751	metaphlan_SRR16554752	metaphlan_SRR16554753	metaphlan_SRR16554754	metaphlan_SRR16554755	metaphlan_SRR16554756	metaphlan_SRR16554757	metaphlan_SRR16554758	metaphlan_SRR16554759	metaphlan_SRR16554760	metaphlan_SRR16554761	metaphlan_SRR16554762	metaphlan_SRR16554763	metaphlan_SRR16554764	metaphlan_SRR16554765	metaphlan_SRR16554766	metaphlan_SRR16554767	metaphlan_SRR16554768	metaphlan_SRR16554769	metaphlan_SRR16554770	metaphlan_SRR16554771	metaphlan_SRR16554772	metaphlan_SRR16554773	metaphlan_SRR16554774	metaphlan_SRR16554775	metaphlan_SRR16554776	metaphlan_SRR16554777	metaphlan_SRR16554778	metaphlan_SRR16554779	metaphlan_SRR16554780	metaphlan_SRR16554781	metaphlan_SRR16554782	metaphlan_SRR16554783	metaphlan_SRR16554784	metaphlan_SRR16554785	metaphlan_SRR16554786	metaphlan_SRR16554787	metaphlan_SRR16554788	metaphlan_SRR16554789	metaphlan_SRR16554790
k__Bacteria	82.54797	100.0	99.95615	99.96838	99.86512	100.0	100.0	100.0	99.8851	100.0	99.85073	100.0	100.0	100.0	100.0	100.0	99.97834	100.0	100.0	100.0	99.99927	100.0	100.0	99.97278	100.0	100.0	100.0	99.48459	100.0	99.7867	99.5749	98.80169	99.95875	99.97439	99.78839	100.0	99.42499	100.0	99.9659	99.99665	99.93186	100.0	99.87217	98.87599	100.0	99.93177	99.92035	99.76362	99.98374	100.0	100.0	99.9883	99.99175	99.89209	100.0	99.90848	99.97793	99.97433	100.0	100.0	99.98529	100.0	100.0	99.94049	99.92264	99.99821	99.96146	99.96294	100.0	100.0	99.95085	100.0	99.92462	99.9711	99.93157	99.62001	100.0	100.0	100.0	100.0	100.0	100.0	100.0	99.94904	99.93171	100.0	99.9785	100.0	100.0	99.95949	99.91138	99.82572	100.0	99.92656	100.0	98.89892	99.59424	100.0	99.9396	99.92223	100.0	100.0	100.0	100.0	99.76953	100.0	100.0	100.0	99.99873	100.0	100.0	99.91652	100.0	99.93891	100.0	100.0	99.96119	99.98733	99.9513	100.0	100.0	99.99246	100.0	99.82982	99.8987	99.82933	100.0	99.79337	100.0	99.95868	99.9945	99.31565	99.94474	97.12775	100.0	100.0	99.87933	100.0	100.0	99.94507	99.90669	100.0	99.96772	100.0	98.66853	99.96337	100.0	99.88793	99.99471	100.0	100.0	99.94059	99.94061	99.97173	100.0	100.0	100.0	100.0
k__Archaea	17.45203	0.0	0.04385	0.03162	0.13488	0.0	0.0	0.0	0.1149	0.0	0.14927	0.0	0.0	0.0	0.0	0.0	0.02166	0.0	0.0	0.0	0.00073	0.0	0.0	0.02722	0.0	0.0	0.0	0.51541	0.0	0.2133	0.4251	1.19831	0.04125	0.02561	0.21161	0.0	0.57501	0.0	0.0341	0.00335	0.06814	0.0	0.12783	1.12401	0.0	0.06823	0.07965	0.23638	0.01626	0.0	0.0	0.0117	0.00825	0.10791	0.0	0.09152	0.02207	0.02567	0.0	0.0	0.01471	0.0	0.0	0.05951	0.07736	0.00179	0.03854	0.03706	0.0	0.0	0.04915	0.0	0.07538	0.0289	0.06843	0.37999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05096	0.06829	0.0	0.0215	0.0	0.0	0.04051	0.08862	0.17428	0.0	0.07344	0.0	1.10108	0.40576	0.0	0.0604	0.07777	0.0	0.0	0.0	0.0	0.23047	0.0	0.0	0.0	0.00127	0.0	0.0	0.08348	0.0	0.06109	0.0	0.0	0.03881	0.01267	0.0487	0.0	0.0	0.00754	0.0	0.17018	0.1013	0.17067	0.0	0.20663	0.0	0.04132	0.0055	0.68435	0.05526	2.87225	0.0	0.0	0.12067	0.0	0.0	0.05493	0.09331	0.0	0.03228	0.0	1.32695	0.03663	0.0	0.11207	0.00529	0.0	0.0	0.05941	0.05939	0.02827	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes	72.83106	48.62932	48.99115	66.80907	40.84755	14.9211	23.55487	30.76124	43.04881	22.82127	61.98207	40.91227	71.79962	9.96875	71.29072	59.02819	31.00118	30.0221	21.03895	68.16028	29.71092	40.23559	9.33139	33.11114	17.74265	20.32744	21.10913	67.2852	52.95191	43.28008	61.23994	37.10639	50.75439	47.66536	48.00682	32.0571	54.77046	88.42383	59.7862	19.54023	22.44381	17.33567	41.65303	52.91687	18.2536	50.15907	39.91484	40.36727	34.3756	30.58052	31.57038	54.44746	45.1086	40.58789	19.95037	47.92051	34.14994	21.88512	24.54618	42.29766	49.54641	43.47603	31.28567	31.50132	37.03282	19.26394	46.0672	73.91971	26.78752	14.90261	18.42118	51.57834	73.49647	48.6454	52.5181	55.0926	32.20653	41.33301	10.73472	45.765	31.82987	89.54721	19.90776	23.48162	38.77449	29.69569	56.85324	19.55795	14.95958	70.55983	27.37403	44.23639	7.14663	21.25164	29.47795	50.59434	51.1474	10.29557	48.62635	57.12038	32.37773	19.39811	33.62338	10.19924	52.94216	10.97458	26.809	20.59247	52.00842	19.31054	52.37344	51.92278	30.3494	24.35351	18.52891	18.76085	42.07692	34.1612	21.92646	31.36932	29.90825	34.69812	24.54304	69.4843	47.96706	30.81972	25.16282	66.9715	13.81568	45.50105	53.81732	33.73801	36.83956	64.35634	24.98826	19.75238	54.94028	19.442	22.73557	11.69167	20.77067	20.16525	45.5126	52.32897	51.6358	81.65274	38.43041	28.15557	20.24132	34.53172	11.36708	31.30027	44.92837	82.08747	20.32613	13.01814	44.77043	15.82006
k__Archaea|p__Euryarchaeota	17.45203	0.0	0.0	0.03162	0.0	0.0	0.0	0.0	0.05677	0.0	0.14927	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.40973	0.0	0.0	0.0	0.0	0.00743	0.0	0.0	0.0	0.49998	0.0	0.0	0.00335	0.0	0.0	0.05691	0.84793	0.0	0.0	0.00102	0.07077	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03174	0.0	0.0	0.0	0.0	0.05123	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00136	0.0	0.0	0.0	0.0	0.0	0.08366	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17461	0.0	0.0	0.0	0.02977	0.0	2.80672	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12065	0.0	0.0	0.01882	0.0	0.0	0.0	0.0	0.00709	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidetes	8.90389	48.03721	42.81605	27.28355	52.70492	81.88448	41.71588	65.84963	33.81434	75.98904	26.68717	51.99251	14.21642	83.701	24.03583	0.07015	62.78126	66.01921	78.10602	25.61126	59.4862	56.52252	87.19085	59.03335	82.03377	75.36344	67.25137	26.9484	32.96757	52.41925	34.03818	60.40364	39.87256	46.47269	45.33126	65.81278	28.61151	11.57617	34.05412	77.96912	74.18497	62.53128	49.65921	23.81536	77.35191	45.88425	57.73462	49.775	61.05223	63.68214	61.51493	34.05511	50.86313	57.50654	78.23895	41.31652	61.58505	75.75154	66.82487	35.22868	47.36846	17.58939	58.21275	64.05456	56.58697	74.36811	46.32143	15.06855	63.2078	83.20824	79.15681	45.45937	19.09686	32.5053	39.07804	34.2875	63.37336	54.28802	86.58806	47.75463	50.44555	3.60432	79.93147	72.19256	58.13969	61.21859	21.86603	40.25111	81.60386	23.56692	71.12717	42.56726	87.40371	69.10157	66.27234	39.41909	34.26792	89.58852	45.37584	38.40567	30.01844	79.76303	41.85351	86.88044	38.48988	74.85322	72.82441	77.1405	33.44246	43.87165	2.85984	37.07813	55.92954	73.99053	75.91639	75.15791	49.91693	55.21594	75.07082	51.70444	56.51388	56.2591	71.83929	26.24607	30.91685	59.34665	73.1799	26.45468	80.031	46.02975	38.40026	37.62791	60.50872	14.46672	70.52004	66.49515	34.10406	77.52082	72.61285	81.68817	63.41441	68.03393	46.86419	43.82255	29.69678	2.2936	56.15394	64.69954	77.0428	60.28094	67.11957	64.53954	40.48093	1.94781	68.24111	65.68429	52.57075	75.20632
k__Bacteria|p__Actinobacteria	0.78584	0.71568	0.57683	1.47119	0.63843	0.0	0.65674	1.89483	0.85445	1.07445	0.60508	0.5813	0.18011	0.10935	2.64503	0.94181	0.40552	0.16077	0.85503	0.19099	0.01568	0.07114	0.0733	0.07639	0.20161	0.38955	0.08775	1.25539	1.52015	0.33867	1.29179	0.60341	1.16157	2.2451	0.15207	0.12068	0.54879	0.0	0.03945	0.70603	0.58886	0.52316	1.01509	1.75661	1.31186	0.42098	1.40711	1.93994	2.1061	0.24506	0.58465	0.07073	0.07426	0.08795	0.56944	0.45141	0.79864	0.22257	0.1214	0.42812	0.22172	0.68955	0.23399	0.18143	0.17461	0.05695	0.79125	2.88489	0.14209	0.24434	0.39467	0.91557	1.55802	4.04482	0.39176	1.01056	0.45297	0.10953	0.88285	0.87415	12.14472	2.93018	0.03961	0.59096	1.32902	0.437	20.00297	2.42093	0.07891	0.63448	0.0438	0.45241	0.12061	0.11744	0.15318	0.22561	0.4013	0.00899	0.57976	2.57778	0.9148	0.3372	0.42395	0.01122	4.72502	0.01681	0.30415	0.41155	1.54204	0.45389	10.67477	0.33164	2.24179	0.1993	0.05043	0.08787	0.23307	0.21267	0.12622	0.0587	0.12968	1.25234	1.05673	0.78139	8.83323	0.29081	0.72268	2.1379	1.26152	0.58331	5.32079	2.6316	1.31534	17.25883	0.43136	1.15462	4.29082	0.46708	0.11037	0.07917	0.12677	0.04342	0.91443	0.07381	0.83417	15.94177	0.71451	0.07183	0.79339	0.91604	0.08333	0.21359	0.16249	15.84408	0.04269	1.16647	0.29077	2.33786
k__Bacteria|p__Synergistetes	0.02718	0.0	0.05275	0.01378	0.0	0.0	0.0	0.0	0.02351	0.0	0.20556	0.0	0.31458	0.0	0.60933	0.0	0.0	0.11975	0.0	0.06432	0.04543	0.0	0.0	0.0	0.0	0.0	0.0	0.34675	0.0	0.0	0.0	0.0	0.11909	0.04823	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.27904	0.0	0.16036	0.0	0.0	0.0	0.0	0.1292	0.0	0.0	0.06686	0.0	0.0	0.0	0.05378	0.00918	0.0	0.0	0.0	0.0	0.12463	0.0	0.0	0.04662	0.0	0.01724	0.0	0.04886	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01416	0.03343	0.0	0.0	0.0	0.0	0.04986	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00788	0.0	0.0	0.04391	0.0	0.0	0.0	0.0	0.01156	0.0	0.0	0.0	0.0	0.55869	0.0	0.0	0.0	0.01135	0.0	0.07328	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0043	0.4102	0.0	0.0	0.05779	0.0	0.0	0.0	0.0	0.06848	0.0	0.19462	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia	50.0303	37.03445	41.75812	42.4482	30.46426	14.9211	11.84682	29.20086	21.08555	19.63278	27.33962	25.78907	50.47783	6.11666	54.62882	0.00419	24.37098	26.17767	16.25592	18.12527	21.08379	39.26788	8.21415	26.28799	14.61005	13.96675	19.13507	44.40759	42.67107	30.97259	52.70256	34.7222	34.45921	34.28682	44.5949	27.72711	30.8327	88.42383	50.57953	17.26434	13.54103	12.20073	35.60487	37.57283	18.05698	36.89797	35.89819	28.34363	24.64153	28.61816	28.95791	51.8203	33.31926	37.80506	17.22634	39.90573	31.30388	19.98145	23.1082	38.47939	43.02369	31.82101	22.29018	26.08546	29.15759	10.93834	43.88303	42.99564	19.2312	12.49229	15.21172	37.96077	50.68847	35.02924	35.69429	25.86521	29.94069	39.93427	9.66684	43.23299	26.98331	68.35598	16.78026	21.03912	30.08754	15.76054	40.12588	11.90705	13.08092	45.15715	25.45933	37.79367	6.83826	14.61438	22.92094	18.80283	38.20461	7.79643	35.62923	48.91478	29.18504	17.25236	30.86225	8.11388	38.38613	6.07608	26.00326	18.87402	40.7027	16.3425	43.73165	36.15808	23.05189	18.34187	13.2055	14.00707	31.95014	28.17697	18.08202	27.45659	28.13859	27.51195	21.57537	55.09252	40.01902	27.27978	15.73814	29.70768	12.07897	41.39504	35.95992	27.05699	32.71605	43.62207	22.21215	13.56039	39.04002	15.04567	19.72085	10.51612	16.71985	15.88981	34.04414	44.53204	26.54146	58.97542	28.58163	20.89961	17.4861	27.98877	8.36246	27.65305	30.00567	57.9624	18.54987	9.44149	42.31931	13.00389
k__Archaea|p__Euryarchaeota|c__Methanobacteria	17.45203	0.0	0.0	0.03162	0.0	0.0	0.0	0.0	0.05677	0.0	0.14927	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.40973	0.0	0.0	0.0	0.0	0.00743	0.0	0.0	0.0	0.49998	0.0	0.0	0.00335	0.0	0.0	0.05691	0.84793	0.0	0.0	0.00102	0.07077	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03174	0.0	0.0	0.0	0.0	0.05123	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00136	0.0	0.0	0.0	0.0	0.0	0.08366	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17461	0.0	0.0	0.0	0.02977	0.0	2.80672	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12065	0.0	0.0	0.01882	0.0	0.0	0.0	0.0	0.00709	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	10.8826	0.03328	0.09318	4.02525	0.48034	0.0	0.00974	0.13987	0.68969	0.53154	1.06639	0.04661	4.86019	0.32029	1.41707	0.0	0.33639	0.33663	0.0	0.94046	0.03613	0.04927	0.01398	0.79373	0.02087	0.00378	0.14311	3.86306	3.19995	0.07411	0.40814	0.29171	6.153	1.92949	0.13092	0.38237	0.0757	0.0	0.0	0.05132	0.17314	0.9124	0.11496	0.33521	0.01569	0.01782	0.47252	0.0	0.01079	0.34447	0.00515	0.0	0.2261	0.00733	0.0	0.52486	0.01297	0.13805	0.04053	0.0	0.00976	1.21936	1.08152	0.31458	0.72722	0.20494	0.07012	0.0	0.02042	0.05553	0.03132	0.07309	0.10571	0.05569	0.01081	1.00201	0.18663	0.145	0.01624	1.15441	0.47039	8.86676	0.00571	0.02738	0.03928	0.08163	0.38926	0.0	0.41242	0.24802	0.10504	0.17719	0.02383	0.00911	0.01442	0.00774	0.34693	0.07401	0.3006	0.0712	0.0329	0.0657	0.05837	0.01122	0.2765	0.4777	0.0935	0.16362	0.0	0.2049	0.39084	1.40819	3.50452	0.07199	0.03053	0.36459	0.0047	0.05664	0.05449	0.0	0.03687	0.0	0.35417	0.00112	0.51076	0.29452	0.22045	0.14919	0.0	0.10098	0.03025	0.39872	0.16181	8.58635	0.44398	0.0463	2.04841	0.21433	0.33532	0.00807	0.30912	0.76424	0.01659	0.09569	0.25226	15.96474	1.46855	0.31192	0.16175	0.01853	0.0	0.1844	0.31099	17.57563	0.06169	0.0829	0.45415	0.23918
