Genome_ID	SRR13022250	SRR13022251	SRR13022252	SRR13022253	SRR13022254	SRR13022255	SRR13022256	SRR13022257	SRR13022258	SRR13022259	SRR13022260	SRR13022261	SRR13022262	SRR13022263	SRR13022264	SRR13022265	SRR13022266	SRR13022267	SRR13022268	SRR13022269	SRR13022270	SRR13022271	SRR13022272	SRR13022273	SRR13022274	SRR13022275	SRR13022276	SRR13022277	SRR13022278	SRR13022279	SRR13022280	SRR13022281	SRR13022282	SRR13022283	SRR13022284	SRR13022285	SRR13022286	SRR13022287	SRR13022288	SRR13022289	SRR13022290	SRR13022291	SRR13022292	SRR13022293	SRR13022294	SRR13022295	SRR13022296	SRR13022297	SRR13022298	SRR13022299	SRR13022300	SRR13022301	SRR13022302	SRR13022303	SRR13022304	SRR13022305	SRR13022306	SRR13022307	SRR13022308	SRR13022309	SRR13022310	SRR13022311	SRR13022312	SRR13022313	SRR13022314	SRR13022315	SRR13022316	SRR13022317	SRR13022318	SRR13022319	SRR13022320	SRR13022321	SRR13022322	SRR13022323	SRR13022324	SRR13022325	SRR13022326	SRR13022327	SRR13022328	SRR13022329	SRR13022330	SRR13022331	SRR13022332	SRR13022333	SRR13022334	SRR13022335	SRR13022336	SRR13022337	SRR13022338	SRR13022339	SRR13022340	SRR13022341	SRR13022342	SRR13022343	SRR13022344	SRR13022345	SRR13022346	SRR13022347	SRR13022348	SRR13022349	SRR13022350	SRR13022351	SRR13022352	SRR13022353	SRR13022354	SRR13022355	SRR13022356	SRR13022357	SRR13022358	SRR13022359	SRR13022360	SRR13022361	SRR13022362	SRR13022363	SRR13022364	SRR13022365	SRR13022366	SRR13022367	SRR13022368	SRR13022369	SRR13022370	SRR13022371	SRR13022372	SRR13022373	SRR13022374	SRR13022375	SRR13022376	SRR13022377	SRR13022378	SRR13022379	SRR13022380	SRR13022381	SRR13022382	SRR13022383	SRR13022384	SRR13022385	SRR13022386	SRR13022387	SRR13022389	SRR13022390	SRR13022391	SRR13022392	SRR13022393	SRR13022394	SRR13022395	SRR13022396	SRR13022397	SRR13022398	SRR13022399	SRR13022400	SRR13022401	SRR13022402	SRR13022403	SRR13022404	SRR13022405	SRR13022406	SRR13022407	SRR13022408	SRR13022409	SRR13022410	SRR13022411	SRR13022412	SRR13022413	SRR13022414	SRR13022415	SRR13022416	SRR13022417	SRR13022419	SRR13022420	SRR13022421	SRR13022422	SRR13022423	SRR13022424	SRR13022425	SRR13022426	SRR13022427	SRR13022428	SRR13022429	SRR13022430	SRR13022431	SRR13022432	SRR13022433	SRR13022434	SRR13022435	SRR13022436	SRR13022437	SRR13022438	SRR13022439	SRR13022440	SRR13022441	SRR13022442	SRR13022443	SRR13022444	SRR13022445	SRR13022446	SRR13022447	SRR13022448	SRR13022449	SRR13022450	SRR13022451	SRR13022452	SRR13022453	SRR13022454	SRR13022455	SRR13022456	SRR13022457	SRR13022458	SRR13022459	SRR13022460	SRR13022461	SRR13022462	SRR13022463	SRR13022464	SRR13022465
BGC0001411	0.350399657	0.005469296	0.007337509	0.451326842	0.021802279	0.009825458	0.034723387	0.00597003	0.010205614	0.030087082	0.020047888	5.06E-13	0.004370787	0.010223609	0.006230945	0.152498242	0.016666422	0.019276131	0.217569918	0.050526427	0.011559106	4.44E-10	0.012047893	0.085198695	0.002418538	0.007364611	0.002747365	0.003884277	0.035113454	1.68E-12	0.07526431	0.002030127	0.104252976	0.08148859	4.38E-13	0.003110172	8.26E-11	3.97E-12	0.131201249	1.34E-12	9.36E-14	1.46E-14		2.24E-15	2.32E-14	6.61E-15	0.004598185	0.053858422	0.002977857	0.009981447	0.041695454	0.155689149	0.031968598	0.159851652	0.170631505	0.046322213	0.000858328	0.000720196	0.105879437	4.17E-05	0.001359778	8.46E-05	0.000835317	0.004249044	0.007184439	1.45E-11	2.86E-11	0.011803609	0.000970275	0.134150275	0.110142601	0.006757581	0.019400371	0.01666975	0.001755021	0.083929487	0.235384648	0.009675199	0.197465669	0.200839834	0.197267574	0.020200732	0.216047917	0.171207392	0.195020304	0.061815538	0.086631483	0.198928571	0.029916898	0.045871266	4.27E-10	0.004961702	0.083803039	0.033508933	0.007417539	0.001187939	0.006830501	0.011097651	0.022045718	0.006519488	0.005455593	0.003953525	0.054710328	0.06863201				1.63E-24	4.81E-15	4.24E-14	2.00E-15			1.64E-14	0.049597924	1.01E-15		1.38E-15	3.37E-15	0.208786267	0.000206996	0.007068752	6.42E-13	0.002683688	0.012847465	0.075050773	0.005733051	0.002304102	0.029949114	5.94E-11	1.41E-05	0.190209198	0.248619336	0.003243387	0.000938662	0.000170922	0.000363815	0.140336146	0.000666614	0.002832455	4.30E-05	0.00038898	0.000914914	0.000174081	0.000576103	5.10E-10	0.000336754	0.001456285	0.036282139	6.96E-05	0.209573443	7.24E-05	0.170723755	0.176226159	0.117244129	0.017566249	0.010240944	0.060031072	0.021431848	0.058544613	0.107443037	0.066281957	4.62E-10	0.055403593	0.03187635	0.112514436	0.129591164	0.113361109	0.002122436	0.096103547	0.084105143	0.012504576	5.66E-14	0.001675716	0.009306192	0.007894291	0.000365909	0.000910043	0.001013463	0.013577864	0.013138211	1.12E-10	0.011884585	0.005788592	0.006706467	0.00167584	0.000732935	0.020113141	0.030189448	0.000333026	0.048068715	0.020981683	0.008859344	0.356662356	0.023656346	0.056759511	0.100171534	0.000383799	0.180263558	0.005264301	0.012028674	0.005469007	0.021512941	0.021806744	0.001404631	0.038032222	0.125825838	0.32198771	0.166754441	0.000895607	0.156714151	0.179942001	0.01070975	0.002096194
BGC0001412	0.171783969	0.002913289	0.004306528	0.21955258	0.007211907	0.005499032	0.0081535	0.002044234	0.006023124	0.01102859	0.030490594	0.000716253	0.012320618	1.29E-29	4.89E-12	0.094808398	0.034527657	0.027424728	0.39530468	0.066173186	0.04522756	0.00247676	0.001735629	0.036802556	0.004849793	0.006285256	2.17E-12	0.004211138		2.67E-10	0.261654835	0.00445685	0.319676737	0.24583116	3.05E-11	7.79E-12	8.61E-12	8.87E-13	0.18946946		1.21E-29	5.46E-30		1.31E-30	5.90E-30	6.80E-30	0.004597864	0.033716575	0.00195785	0.002336326	0.088521513	0.071583681	0.051817746	0.314733611	0.052871814	0.015232194	0.008124514	0.000250827	0.178878955	0.00173477	0.000628276	0.000852483	0.000971312	0.008991311	4.99E-12	1.67E-12	0.002316838	0.001545693	0.000697625	0.279520407	0.053255849	0.003679093	0.015189517	0.023208812	0.001607209	0.075158825	0.352603112	0.001507012	0.339024732	0.400459949	0.342729055	0.019050959	0.388903043	0.236660375	0.345807799	0.122975783	0.142277225	0.354242886	0.021014306	0.08305237	2.10E-12	0.010510934	0.226911423	0.106688304	0.020616616	0.020208449	0.019565022	0.030906094	0.066294073		0.00456137	0.015951203	0.116775712	0.128515877				2.37E-30		5.50E-15			2.55E-15	4.84E-15	0.103498968			3.76E-15		0.476357034	0.0007033	0.025888071	1.83E-12	0.006946797	0.00016974	0.021635585	0.001384796	0.084867798	0.019835893	1.47E-13	0.002814314	0.382004267	0.262600466	0.00236425	0.014057283	0.00028969	9.68E-07	0.250590527	0.001459242	0.008020046	0.009969457	0.002258663	0.000463098	2.74E-05	0.001665782	0.002197774	2.44E-12	0.000325538	0.130944312	6.30E-05	0.514131382	0.000284949	0.400958708	0.481933742	0.288342544	0.039537592	0.032341885	0.157291077	0.05185932	0.138018339	0.295471666	0.275124994	0.019346065	0.069019362	0.056352001	0.142282444	0.367215927	0.22640141	0.013196964	0.311186253	0.23301203	0.023015706	8.86E-08	0.00163146	0.00595595	0.042216398	0.011080283	8.93E-08	0.015594468	0.033305323	0.024093002	0.001711859	0.041128389	0.016361502	0.00380483	0.005030584	0.001376604	0.01148282	0.013712787	0.000295666	0.026553027	0.015932039	0.006593031	0.203639827	0.030734942	0.001589299	0.175272414	0.000613342	0.290940519	0.0348876	0.018199313	0.01058441	0.030440674	0.008898469	0.001083788	0.025886413	0.116613407	0.393716342	0.102754722	0.000755469	0.10205309	0.436833764	0.005109509	0.008180273
BGC0001410	0.122418038	0.002230394	0.002774464	0.183402778	0.005529602	0.003084696	0.002521433	0.002290857	0.004433897	0.009940262	0.004829282	1.70E-10	0.004370803	0.002292412	0.005053943	0.045761561	0.016448667	0.008557016	0.149588411	0.04001194	0.001236448	2.28E-08	2.00E-07	0.015883364	0.003486612	0.004161356	0.012136778	7.06E-09	0.010899096	5.50E-05	0.05450674	0.001091446	0.071906124	0.049557496	2.03E-05	0.003966065	3.75E-07	1.26E-07	0.063578585		2.53E-12	4.76E-19		6.64E-22	2.50E-26	6.17E-21	0.008659481	0.012253349	0.001116113	0.002722749	0.032750768	0.050200817	0.016759753	0.123444638	0.027808008	0.010910088	3.72E-07	4.98E-09	0.069299487	5.45E-05	0.002039643	1.72E-06	3.85E-08	0.010256917	5.62E-07	1.66E-07	0.010574846	1.97E-06	0.000328497	0.100128527	0.036123881	0.001897773	0.005536919	0.014410243	0.001880179	0.063107978	0.150355469	0.002096282	0.136349352	0.138023572	0.139989474	0.005279595	0.150918608	0.131503011	0.132417861	0.056495058	0.055028223	0.133457659	0.000909915	1.42E-06	3.33E-07	5.99E-05	0.043229945	0.015613839	0.00899763	0.005919024	0.002822243	0.010078533	0.030726486	1.15E-08	9.12E-05	0.009524309	0.022876933	0.034546679		3.78E-08		1.21E-20		1.04E-19	2.35E-15				0.009213156	1.38E-20			3.52E-11	0.147775908	0.005247449	0.002667629	0.017999738	1.31E-08	0.016171696	1.30E-07	0.013950376	0.000755907	3.30E-08	0.005110559	1.01E-06	0.129192865	0.214555901	2.32E-05	0.006858578	1.89E-07	0.000441352	0.126511244	1.94E-05	0.003981468	0.009969486	0.00218479	3.28E-06	2.75E-08	3.88E-09	2.17E-11	3.56E-08	2.09E-08	0.028000039	6.30E-05	0.161597516	0.000134781	0.135671398	0.147690181	0.089530493	0.01393164	0.00227565	0.046929935	0.017637659	0.031939735	0.051805228	0.066911138	0.000964328	0.01774556	0.021777147	0.052124252	0.055798823	0.056433854	0.001475575	0.058033212	0.032106651	0.000304125	1.80E-05	0.000900883	0.001005313	0.025498013	0.001276856	0.000337116	0.017143174	0.005091317	0.001836733	2.37E-07	1.93E-06	8.69E-08	0.015972574	0.005735057	0.00143275	0.00991145	0.006105566	0.000572091	0.011717926	0.012242739	0.004446741	0.122851169	0.01041066	0.00089365	0.091603802	0.000328512	0.118486362	4.81E-07	0.01482406	0.006157705	0.008939496	0.003951598	0.001815722	0.004464299	0.038704015	0.143641326	0.071339588	5.76E-05	0.059776608	0.130724827	0.008986304	0.001830014
BGC0000972	0.113206125	0.404145938	0.399265268	0.001303124	0.362583918	0.390490511	0.03217538	0.380337956	0.382092998	0.342523464	0.030490594	0.363868574	0.007512946	0.063461439	0.005048998	0.016864827	0.117025447	0.000382386	0.002074738	0.005049409	0.190532336	0.098500724	0.01344621	0.169752768	0.266217641	0.309264361	0.048840951	0.088169904	0.093516509		0.013208765	0.420866079	0.031008536	0.030141743		0.001237205		3.38E-31				0.000522732				3.56E-28	0.077044558	0.025639569	0.386278882	0.001286871	0.318133467	0.010250755	0.245908127	0.008497864	0.193981268	0.021733992	3.16E-05	0.002245747	0.208158288	3.89E-06	0.017082339		0.005127204	0.350000554	0.002583161		0.084490265	0.012539425	0.00290739	0.088344394	0.298075412	0.004008602		0.043838335	0.346181406	0.011082022		0.253989017	0.004957836	0.011382655	0.000983231	0.007927341	0.000397831	0.000949762	0.001577174	0.011250183	0.012529273	0.000173696	0.105323811	0.132094832		0.004111768	0.012858061	0.004152782	0.018766738	0.004500829		0.000675032	0.020742803	0.248233208	0.018151303	0.008125151	0.001465671	0.0327634	1.39E-09		7.07E-09				8.17E-10	4.16E-10	1.76E-09	4.73E-09		5.50E-12		5.07E-09	1.13E-09	0.005986069	0.335735274	0.130203769	0.241679723	0.245361543	0.095241188		0.221130126	0.054766874	0.063505107	0.014217702	0.262783062	0.017873419	0.001407952	0.000907137	0.005822217	0.000958372	0.000470036	0.112335263	0.006090333	0.003973239	0.108071444		0.003996689	2.27E-08	0.006456095		2.61E-09	0.005613773	0.144754345	2.99E-07	0.000577921	0.393357311	0.06710577	0.031279496	0.180308893	0.010874717	0.322896186	0.287683267	0.291430987		0.038518662	0.010779753	0.009673032				0.002042413	0.024250113	0.003610194	0.001674404	0.015224232	0.162899165	0.000446133	0.000480776	0.031963019	0.082180926	0.007374381	0.001280149	2.38E-07	0.004277163		0.036211814	0.051262634	0.025752971	0.161428239	0.058435973	0.000336566	0.349500719	0.172929148	0.344766715	0.280255144	0.257880673	0.064629223	0.001585466	0.003623604	0.175592217		0.002542638	0.000673114	0.033674253	0.279435926		0.002438109	9.86E-05	0.761364481	0.025931913	0.062145112	0.009485788	0.017736648	0.255702809	0.030900005		0.001240245	0.308459219
BGC0001055	0.069053692	0.261831333	0.270527426	0.005921626	0.253476226	0.262845017	0.087364802	0.265362478	0.256015025	0.233691913	0.067318245	0.267689133	0.174628415	0.060175095	0.038229718	0.242934002	0.097346914	0.042425103	0.04193987	0.089824299	0.233369024	0.127067465	0.012400036	0.123077895	0.185225385	0.241561322	0.041734962	0.071788915	0.017806869	0.024646903	0.005633361	0.29837594	0.017098167	0.019605596	0.49960171	0.298888685	0.034694384	0.550263457	0.019690229	1.16E-06	0.344862108	0.240657906	0.103199027	0.609958856	0.524155374	0.527730667	0.127580051	0.029519384	0.255032658	0.340830585	0.217862884	0.033063595	0.318318123	0.127823001	0.143886453	0.400592368	0.107470972	0.077640113	0.14559523	0.101319607	0.401124276	0.444141113	0.505578973	0.205972282	0.087025696	0.001561105	0.132637041	0.522411612	0.147569477	0.054836797	0.192176791	0.01305849	0.084667888	0.189960821	0.244810806	0.030231626	0.034658116	0.14874042	0.06018982	0.019661476	0.00911959	0.031274153	0.036545071	0.023858554	0.094566977	0.175054613	3.04E-05	0.099943059	0.03662729	0.11354489	0.14287152	0.471802818	0.277315337	0.299850146	0.196161117	0.167699886	0.043038805	0.511539417	0.11860102	0.244524584	0.046620489	0.020874156	0.294794491	0.142198271	0.539947317	0.580943148	0.447344827	0.417823663	0.350602837	0.107570865	0.540085763	0.237303	0.168753988	0.093890021	0.086795306	0.419589908	0.157474101	0.280774699	0.057340249	0.005550883	0.277544113	0.131650311	0.106382417	0.212927464	0.038386204	0.045752819	0.254394229	0.100351194	0.026745268	0.117080679	0.184445086	0.016320467	0.008232621	0.004773394	0.040667191	0.121223933	0.159115821	0.105028341	0.021403996	0.014428204	0.249994011	0.083654276	0.313229495	0.029736039	0.168107657	0.344270748	0.079701253	0.092584557	0.073918648	0.245458745	0.0062253	0.277327992	0.065772287	0.020872793	0.135866254	0.00902992	0.311310673	0.214510633	0.22385486	0.094614448	0.15551649	0.090352759	0.291263675	0.095478824	0.502073049	0.044740368	0.023331808	0.244645305	0.603828483	0.188463147	0.021277394	0.099233787	0.392863403	0.779163904	0.613793034	0.097931012	0.436849496	0.510897675	0.139339941	0.072152923	0.034830741	0.131956516	0.078235682	0.075744787	0.196046435	0.086442756	0.572637303	0.21963806	0.127590323	0.27323215	0.180379029	0.165014548	0.039151277	0.007026332	0.017185408	0.263469914	0.013353338	0.600262513	0.038682582	0.035222088	0.166671743	0.049577597	0.055271726	0.044719393	0.223064649	0.061261276	0.170048573	0.00625417	0.004434334	0.443412361	0.015076132	0.018924302	0.013932722	0.203648258
BGC0000776	0.039968668	0.162392758	0.1544427	0.000936215	0.12207559	0.116698237	0.020065271	0.140926425	0.132820161	0.09671518	0.015245297	0.116392671	0.029870279	0.011835776		0.045950472	0.04109686	0.02834458	0.004010875	0.00578004	0.04186983	0.049093911	0.006712038	0.061000625	0.105788906	0.086945712	0.066926295	0.034052578	0.020196182	0.053456033	0.023086966	0.152926997	0.01524565	0.013715651	0.151238752	0.049063189	0.006776439	0.19528972	0.008529334		0.056701696	0.039623725	0.01753359	0.111495929	0.074341403	0.084746436	0.014511895	0.013432496	0.1249478	0.021677956	0.060546002	0.004009423	0.05489985	0.01089694	0.042214626	0.102586026	0.225525451	0.121739775	0.075893927	0.16913915	0.146575181	0.119367388	0.119527735	0.096186384	0.058650791	1.88E-06	0.032872012	0.101506856	0.033082086	0.03019739	0.089067027	0.003449663	1.08E-07	0.035916141	0.116157284	0.004512743	0.001568869	0.036416404	0.006862689	0.003798117	0.001566048	0.009446135	0.00184848	0.013573233	0.011122579	0.01444427	0.007288277	0.008433592	0.048439523	0.088896027	0.073196477	0.149626715	0.074077504	0.085388795	0.049385349	0.163491659	0.008983115	0.195670559	0.035642167	0.044434623	0.017492238	0.002230407	0.089735309	0.027234479	0.096111119	0.10815663	0.073799919	0.069006914	0.047690712	0.012767183	0.073537169	0.037964871	0.033604364	0.023943538	0.047970702	0.091597415	0.026008927	0.008548394	0.000736324	0.001208462	0.081281374	0.09366621	0.059668174	0.065409194	0.061276185		0.074312741	0.005258119	0.007781317	0.01652715	0.055476664	0.012017871	0.00112091	0.009978821		0.02448599	0.013784642	0.035249386	0.025624777	0.007598364	0.043334719	0.055252396	0.070621667	0.00523287	0.026677972	0.071039406	0.121068235	0.062044583	0.029463615	0.001947317	0.001642656	0.087215299	0.021683643	0.009447977	0.062946486	0.004508672	0.113567338	0.106493107	0.100494023	0.024431068	0.035341263	0.023622954	0.12395671	0.022669851	0.111379667	0.025623698	0.000643418	0.07707504	0.161802099	0.058028289	0.008248402	0.039465434	0.141845902	0.077785077	0.08850653	0.035385641	0.089913399	0.171848189	0.147444238	0.013634741		0.051750129	0.03360762	0.001486812	0.048094627	0.031635358	0.131835686	0.126705147	0.061568402	0.083832349	0.092775777	0.093377228	0.014888644	0.000302728	0.001696649	0.041222075	0.000458896	0.152658869	0.004497386	0.00896236	0.136837865	0.012316309	0.057048227	0.058468909	0.000497733	0.01426104	0.086334624	0.004288888	0.008149708	0.109894637	0.000239166	0.00032352		0.106471052
BGC0001681	0.033191946	0.000524302	0.000467966	0.052911116	0.002558777	0.000581792	0.006881242	0.000524595	0.001026575	0.001531789				0.000612279	0.005048998	0.018383859		1.36E-10	0.044785456	0.003150131			1.03E-24				0.012131324			1.27E-28	0.012897257	0.000179547	0.012553739	0.011448499	1.86E-29	1.19E-30	5.70E-29	2.09E-30	0.004078195									8.05E-25	0.000262032	0.000249536	0.011606352	0.011882014	0.000599412	0.038994351	0.014528133	0.004156577		0.001306268	0.025062658	1.41E-31	0.000861501						1.53E-14	1.48E-30	1.50E-30	0.035658525	0.009866265			0.00204356	0.000131424	0.008784326	0.040533659		0.048864623	0.06280468	0.05104015	0.010279221	0.054167243	0.03476413	0.044126284	0.020888201	0.026177234	0.042398701			1.26E-29	0.000438337	0.00875822	0.00437642		0.004500829	0.008462443	0.002504837	0.003108041			0.003331308	0.002851169	0.012526287																0.047709098	5.38E-30		3.37E-28	2.91E-09		0.059804758		0.008626362			5.22E-06	0.048821652	0.048857418			1.77E-32	4.13E-32	0.039875194	0.000195392	0.000858111		0.003435174							1.64E-38		0.057455608	0.000134739	0.033614332	0.049958014	0.030772044	0.00376436	0.001849621	0.010206687	1.28E-16	0.012453719	0.0289176	0.010779753		0.013102783	0.00491888	0.022515602	0.015521896	0.021441234	0.00027934	0.016122599	0.012530705	0.005318174		7.72E-08	0.00547555				5.56E-30	1.05E-29		5.21E-30	1.32E-29	2.68E-34	0.006071944	0.001961136	0.000341345	0.000484168	0.002373558	0.000250689	0.003777726	0.001201037	0.00055969	0.036092983	0.004319323	1.29E-05	0.029588601		0.039801127			0.006157665	0.004767621	0.000947201	0.000337652		0.01734928	0.045045752	0.01222464	0.000172444	0.020046318	0.031539484	0.000331269	
BGC0001555	0.032543937	0.126247124	0.126057221	0.002641799	0.11020674	0.12144839	0.21284729	0.116277967	0.111758447	0.110858918	0.00690854	0.105411225	0.070395028	0.027458235	0.024579545	0.054012727	0.015744144	0.301129258	0.018357245	0.097458256	0.031421738	0.134176468	7.42E-05	0.00925596	0.152347712	0.112266953	0.025489574	0.047970298	0.054790329	0.019130423	0.007541168	0.083913783	0.00225992	0.019382285	0.07560301	0.137019405	0.002963168	0.116583895	0.189363843		0.083710555	0.103830471	0.142342314	0.207588554	0.136229883	0.122804312	0.339786364	0.026295347	0.104858874	0.416897683	0.090017724	0.043805039	0.086849196	0.112390938	0.067628643	0.057206981	0.26487376	0.225584394	0.037695311	0.243677609	0.105647353	0.077850636	0.117056616	0.099730204	0.181594075	0.108669498	0.031265627	0.110295825	0.01421621	0.025990828	0.132267019	0.00653774	0.03444315	0.128188692	0.074083295	0.011493641	0.021803259	0.032305375	0.032672943	0.009421458	0.005750502	0.019096959	0.013288073	0.233010197	0.076440939	0.068244566	0.002671741	0.053579494	0.077035786	0.138973581	0.131286868	0.067498283	0.025061216	0.058669151	0.052158788	0.09619008	0.02121674	0.070488572	0.025732581	0.084443554	0.018261851	0.003693707	0.040278393	0.027068999	0.137063504	0.161694708	0.136786581	0.421088383	0.275871386	0.07749445	0.218739503	0.158380491	0.039051013	0.022307362	1.05E-07	0.113973441	0.115053849	0.60969994	0.215646746	0.016464597	0.075535326	0.182432825	0.022672859	0.054969144	0.04046896	8.12E-08	0.059409106	0.002310613	0.125067427	0.575075534	0.135303178	0.014757463	0.001582931	0.068346897	0.035493119	0.662797337	0.640797275	0.031956107	0.002232897	0.003583977	0.057486354	0.011115695	0.026616267	0.001819707	0.124860643	0.038861723	0.044600482	0.034825241	0.034509825	0.639268359	0.001239402	0.076398991	0.021056731	0.008009922	0.041316042	0.003424526	0.097708105	0.068392927	0.079572043	0.015616063	0.128771525	0.051207606	0.096571081	0.242192714	0.049118842	0.064062047	0.00685928	0.034018927	0.084923835	0.035493934	0.028894678	0.056795567	0.360532012	0.047674097	0.07236911	0.019988882	0.316325994	0.11661623	0.175409607	0.103407676	0.013102195	0.137055123	0.057802242	0.01553165	0.259133746	0.016342365	0.20285667	0.103139553	0.375224988	0.071291249	0.152898854	0.192945547	0.060365584	0.001306085	0.01239731	0.081484391	0.005060198	0.141615525	0.016037653	0.009743504	0.07503983	0.146886236	0.437628003	0.570374428	0.001893149	0.136532864	0.143776737	0.011669299	0.005624903	0.089670094	0.008311865	0.000136795	0.002160279	0.069462979
BGC0000948	0.029129063	0.000565723	0.000843835	0.040912897	0.001160756	0.001067279	0.002293747	5.37E-37	0.001582704	0.001460693						0.00497305		0.004544522	0.040573976	0.009779976			0.005342545	0.018401278						1.70E-28	0.000510222	0.000151305	0.019095405	0.006579508	1.75E-28		9.01E-28	4.37E-30	0.002946562										0.0003403	0.000308416	0.007984815	0.008747242	0.002784716	0.024049172	0.013382423	0.002343676		4.82E-05	0.01261378	5.07E-36					0.000565812		1.27E-38	6.42E-11	5.90E-26	0.019573269	0.008813503				0.000548614	0.01391131	0.029608392	0.004783849	0.036786158	0.0387707	0.032908715	1.61E-09	0.049129156	0.045767058	0.039108551	0.016824057	0.011685252	0.046558167		0.022933142	1.68E-36		0.008992616	0.008047397				0.002017728	2.60E-05		0.000174359	0.000180471	0.006815172	0.001682469																0.033563524		0.021999492				0.003452745	9.48E-06			0.007108851	5.13E-30	0.03547558	0.043251631			2.57E-05	0.000273411	0.024188728		3.05E-38								0.000925106			0.029965539		0.029044145	0.034779658	0.022705643	0.002495164	0.001610839	0.004107142	0.000194523	0.011977349	0.008068547	0.043119013	2.35E-37	0.004999335	0.003749106	0.002234411	0.017672264	0.006697521	0.004281608	0.013848164	0.000581357	0.000734131	1.48E-05			0.000553693		1.51E-25	1.00E-38		0.013010085		0.008178988			0.003794642	0.000154668	1.97E-05	0.001758224		0.00360254	0.000146301	0.001101052	0.038258922	0.001248883	0.000142291	0.010890123		0.03866584			0.003879589	0.001603082	0.002134553	0.000672953	0.021185793		0.042933809	0.01980328	0.000370343	0.020430872	0.017299889	0.006458995	7.63E-30
BGC0001575	0.025897964	0.007037331	0.004613664	0.012506701	0.00071263	0.051447784	0.357860582	0.046047866	0.009597106	0.091790173	0.239147243	0.061970492	0.12876976	0.049619977	0.19008863	0.288570931	0.007721537	0.000352761	0.004375632	0.066108694	0.265274308	0.284056537	0.88068874	0.338012582	0.040787495	0.099038573	0.146742825	0.709995268	0.56652828	0.619464152	0.101918552	0.005063231	0.007391272	0.04987794	0.003407329	0.18693519	0.003005247	0.004469508	0.137789811	0.423169191	0.000996507	0.0039531	0.000403947	0.000440185	0.007043382	0.001679615	0.294423647	0.548916199	0.098265634	0.018675298	0.000406746	0.583954592	0.055917719	0.013420232	0.146556584	0.306954354	0.004814763	0.003551613	0.082129044	0.001270519	0.002824888	0.001117348	0.011805814	0.067488562	0.008501282	0.00508913	0.133991032	0.078100007	0.783969686	0.083635207	0.0424113	0.096087556		0.15796025	0.051622771	0.334108537	0.050275944	0.319314071	0.080340446	0.058066159	0.059752667	0.210981689	0.068516972	0.002442152	0.006548753	0.013486331	0.076915707	0.021949968	0.362472811	0.007538536	0.423548643	0.224200923	0.077230781	0.092135702	0.502434314	0.250133361	0.717822285	0.092575644	0.352035691	0.184323511	0.75717137	0.879950255	0.315891595	0.235167268	4.36E-08	0.003283173	0.015842089	0.002929227	0.002547272	0.002731884	0.003912958	0.005177545	0.00189444	0.002770988	0.012170959	6.10E-05	0.014667208	0.005029718	0.016810002	0.046782805	0.074852991	0.205248045	0.507036034	0.250204446	0.282465641	0.49829503	0.115873963	0.273425265	0.392828007	0.147850409	0.097200699	0.008793089	0.028490138		0.005765437	4.13E-08	0.000136925	0.03824633	0.00893486	0.004802724	0.295774929	0.003621501	0.009003786	0.000278627	0.002186612	0.00163213	0.002917726	0.008898794	0.473125783	0.00146425	0.01132209	0.002116598	0.001961808	0.008246958	0.001690537	0.000155682	0.004266412	0.001557939	0.109964785	0.139946045	0.011816891	0.14293155	0.365969829	0.132458839	0.038373775	0.216037663	0.12492354	0.034224472	0.051418939	0.152333897	0.44965128	0.277582184	0.004838698	0.014306149	0.087147909	0.629665345	0.039544211	0.04651294	0.274530983	0.021116096	0.281927977	0.324519661	0.517887554	0.809285492	0.180632205	0.648313561	0.017247298	0.097200337	0.166040266	0.031268358	0.163583366	0.162389133	0.760139211	0.010303047	0.030840258	0.020530207	0.054107669	0.001169685	0.003716609	0.070616401	0.164957391	0.514780024	0.055445847	0.002916018	0.000769189	0.576978469	0.121230038	0.009459529	0.024640344	0.00359192	0.13463529	0.138503397	0.811218311	0.052098577
