Genome_ID	SRR6000869	SRR6000870	SRR6000871	SRR6000873	SRR6000874	SRR6000877	SRR6000878	SRR6000890	SRR6000891	SRR6000892	SRR6000893	SRR6000894	SRR6000895	SRR6000896	SRR6000899	SRR6000900	SRR6000901	SRR6000902	SRR6000903	SRR6000905	SRR6000906	SRR6000907	SRR6000908	SRR6000909	SRR6000910	SRR6000911	SRR6000912	SRR6000920	SRR6000921	SRR6000931	SRR6000932	SRR6000940	SRR6000942	SRR6000944	SRR6000945	SRR6000946	SRR6000947	SRR6000949
BGC0001575	0.867479115	0.01458693	0.049359368	0.082474079	0.361920178	5.53E-09	0.080069954	0.158808996	0.265867026	0.148108438	0.015978717	0.013299878	0.002421719	0.948745306	0.454935347	8.26E-29	0.006073003	0.129739399	0.245291007	0.543642649	0.161593123	0.000224571	1.22E-07	0.779486651	0.824213222	0.777447922	0.007928271	0.010343531	0.065645015	0.016762427	0.024353783	0.290905928		0.038710701	0.000713482	0.056209054	0.69182521	0.573102355
BGC0001654	0.061172379	0.008185942		0.70560167		0.997638037	0.000139146	0.52199538	0.365294986	0.000377923	0.001698364	0.083736395	0.097311987	0.034382928	0.19550855	7.21E-06	1.23E-05	0.846922014	0.001059878	0.149369391	0.350020526	0.171877605		0.00487752		0.074813396	0.42574811	0.003065314	0.248540931	0.008686279	0.190559338	3.16E-26	0.000764786	0.883155093	0.769285131	0.439398052	0.089354739	0.249772438
BGC0001209	0.024167144	0.00016577	0.429827118		0.000635124	8.07E-07	0.027658195	4.34E-05	0.267608385	0.002011526	0.000123537	0.000441614		0.014645382	0.006051969	0.00072463	4.69E-05	0.012671402	0.000947273			0.001008891	1.18E-08	0.010784353	0.097575589	0.001442244		0.044445054		0.000813314	0.002064602	0.016733171	0.589547705		1.58E-26	0.020941286	0.00043986	0.001979835
BGC0001055	0.019884399	0.029759114	0.115092383	0.036297978	0.05890809	0.000723336	0.292547528	0.004003776	0.000363604	0.063574744	0.202099955	0.478161502	0.059693519		0.108861614	0.129292177	0.322181139	0.000229889	0.432431984	0.044021916	0.002254443	0.054573221	0.088931348	0.000276459	0.010453439	0.02717339	0.399259991	0.588719722	0.373942698	0.030599145		0.461053466	0.013643948	0.003054466	0.096491637	0.024443709	0.034619103	0.00431633
BGC0000972	0.016604442	0.000216548	0.064194182	0.027138924		0.000531978	2.73E-25	1.78E-12	0.007987378	0.104671345	0.348167421		5.52E-12		0.172652115		0.410587531					0.067311108		8.36E-05	0.017266156	8.39E-25	0.000558051	0.007169195		0.000227038		0.004964683			0.010407299	2.37E-29	1.02E-10	
BGC0000776	0.004224532	0.057344006	0.167150954	0.012817514	0.010902098	0.000119846	0.021490567	0.001727813		0.022469996	0.126116861	0.050329593	0.014371153		0.044418124	0.009048155	0.084132257	0.000163046	0.077196577	8.99E-05	3.68E-05	0.016095158	0.055732326	3.69E-05	0.002971477	0.007840283	0.010706797	0.280001635	0.007650495	0.061108539		0.129340066	0.000265555	0.001675035	0.013957256	0.01409815	0.122874885	2.32E-07
BGC0000526	0.002761403	0.000767367	0.05295495	8.53E-07	0.000121735	0.000273852	0.011449134	7.48E-05	0.071683792	0.000711045	0.000109944	9.46E-05	4.67E-07	0.001513649	0.001341342	0.000439257	9.41E-05	0.007313669	0.000643281	8.40E-11	0.001863629	0.000154568	0.000245194	0.005467695	0.025502542	0.001018803	1.53E-13	0.022441529	0.000622407	0.000487751		0.011049001	0.300408687	0.000303664	1.11E-05	0.03991669	0.000261841	2.55E-08
BGC0001555	0.00194283	0.511931604	0.001348235	0.051540924	0.410645866	0.000496521	0.402063857	0.012211016	3.31E-10	0.011565571	0.101159613	0.234988709	0.015906371	0.000206379	0.009590632	0.016742735	0.074391891	3.38E-06	0.212249484	0.020540262	1.80E-06	0.041915428	0.493704749	8.36E-05	0.001224278	0.063105061	0.123564854	0.001003087	0.088059475	0.498287105	0.00023744	0.04987048	0.001390543	0.002826091	0.079617643	0.045460468	0.029377103	0.000473757
BGC0001411	0.000906078	0.00075633	0.000118899	5.99E-13	3.12E-15	0.00011741	0.000269825	0.073474071	1.15E-14	0.181033796	0.010065111	0.009818726	0.15986884	0.000446902	4.36E-19	0.219358238	0.012442449	1.30E-15	5.12E-06	0.07445658	0.236195408	0.223978271		0.034689965	1.21E-15	0.001464129	0.000304365	1.24E-06	1.84E-14	0.000227041	0.156433344	0.007412079		0.020747769	1.70E-15	3.16E-29	1.15E-15	0.032505501
BGC0000523	0.000564555	0.000371926	0.000156724	0.000106687	3.64E-05	3.14E-11	0.003129486		0.014117469	5.20E-05	1.44E-05	2.04E-05		4.40E-05	0.000336037	0.000718261	1.45E-05	2.14E-05	0.001942625	0.000109294	0.000331204	0.000352372		0.000293824	0.00044724	2.14E-06	1.72E-27	0.000973461	1.71E-26	0.000861694	0.00029609	0.001386511	0.013133789		1.47E-05	0.212071519	7.46E-08	2.55E-08
