Genome_ID	SRR9033715	SRR9033716	SRR9033717	SRR9033718	SRR9033719	SRR9033720	SRR9033721	SRR9033722	SRR9033723	SRR9033724	SRR9033725	SRR9033726	SRR9033727	SRR9033728	SRR9033729	SRR9033730	SRR9033731	SRR9033732	SRR9033733	SRR9033734	SRR9033735	SRR9033736	SRR9033737	SRR9033738	SRR9033739	SRR9033740	SRR9033741	SRR9033742	SRR9033743	SRR9033744	SRR9033745	SRR9033746	SRR9033747	SRR9033748	SRR9033749	SRR9033750	SRR9033751	SRR9033752	SRR9033753	SRR9033754	SRR9033755	SRR9033756	SRR9033757	SRR9033758	SRR9033759	SRR9033760	SRR9033761
BGC0001654	0.512245569	0.114348819	4.65E-11	0.16547064		0.016003013	0.358758979	0.107878339	0.189729507	0.100399936	0.016856682	0.066850536	0.035281448	0.014247663	0.853220644	0.035709957	0.011143952	0.01838748	0.077034015	0.725002091	1.43E-23	0.409348778	0.014410489	0.02098137	0.008269532	0.026019309	0.080819998	0.388770946	0.788484392	0.769105565	0.201661976		0.001663363		0.01056115	0.590777448	0.691448392	0.221866723	0.002736285	0.205136792	0.166544808	0.072637175	0.669713249	0.000143346	0.000595201	0.138092635	0.085259193
BGC0001055	0.119283781	0.022658478	0.55838913	4.44E-05	0.525624377	0.201977757	0.026691044	0.028592126	0.01978501	0.019915965	0.00504972	0.001352109	0.09537279			0.109633373	0.075450016	0.196452448	0.009409809	0.014128466			0.437752442	0.340826838	0.34580361	0.449382142		2.60E-14	0.016760104		0.161430166	0.002572593	5.61E-10	0.009073203	0.114606674	0.023722847	0.003324205	7.96E-11	5.60E-07	0.005311913	0.002691022	0.000602497	0.017139466	0.001621849	0.604600664	0.195528891	0.026315535
BGC0001325	0.115956441	0.358488088	0.041903773	0.00878668	0.104771248	0.415748231	0.009164572	0.013668218	0.426866995	0.297256336	0.752072219	0.074722021	0.167435149		6.69E-08	0.228450555	0.058594908	0.014108213	0.601709874	0.121902865			0.007923308	0.072250082	0.00974071	0.00868257		0.074079274	0.057941219		0.133181484	0.461302622	0.016278612	0.023901521	0.017788189	0.312866651	0.033196232	0.084016728	0.913115104	0.397225226	0.783157384	0.637544253	0.020671795	0.079411914	0.014719759	0.051929003	0.626115041
BGC0001555	0.057868954	0.013562651	0.28743385	0.020399167	0.267413542	0.064123106	0.025387209	0.012494903	0.0158163	0.015133825	0.000599939	0.005850966	0.171824863	0.001255297	0.000813923	0.058767731	0.052184339	0.086107384	0.019761685	0.009453782	1.28E-22		0.32466594	0.185892798	0.271336359	0.274136498		3.44E-06	0.015003837	2.59E-07	0.172136255	0.001279466	3.05E-25	0.002668852	0.388042625	0.021309084	0.002477151		4.40E-07	0.002266345	0.006437222	4.51E-30	0.015788258	0.074381917	0.293687891	0.093777205	0.010115413
BGC0000776	0.046282533	1.12E-05	0.049231556	0.000865912	0.042578477	0.06743885	0.013026798	0.007235113	7.68E-05	0.00066115	0.001083639	1.02E-29	0.003994896			0.0263291	0.024109698	0.069718236	0.000510496	0.006012726			0.04652216	0.022771037	0.034369302	0.03951078			0.000321959		0.019351371	0.00066123		0.001466506	0.033546797	0.008425033	3.63E-09		6.87E-12	0.020348601	0.001456256	0.00041306	3.87E-05	0.000130066	0.050750979	0.042466297	0.002841788
BGC0000799	0.040851112	0.001392057	0.013602343	7.23E-06	0.013132822	0.003605253	0.001857135	0.002586248	0.000120857	0.004652074	0.000718745	1.48E-07	0.00615676	2.40E-26		0.00719133	0.028499093	0.02001755	8.96E-05	0.004136911	7.94E-28		0.015728371	0.00371233	0.013750053	0.013395498			0.00027754		0.005959666			0.000133986	0.072638218		2.89E-05		0.012082396	2.44E-07	0.0009016	8.78E-05	1.74E-13	9.37E-05	0.010453516	0.004888353	0.000622301
BGC0001575	0.040331009	0.388704149	0.027362492	0.057438089	0.023653747	0.183723725	0.361721051	0.02962037	0.192361	0.042546462	0.183452575	0.018777874	0.019806412	0.177304316	0.089406213	0.020341166	0.347185789	0.015450521	0.029263827	0.102877816		0.021512396	0.000564442	0.218206804	0.069677523	0.003272833		0.03160335	0.114469008	5.80E-08	0.021291564	0.045475057	0.670267372	0.002889567	0.157565519	3.62E-29	0.165316045	0.018542915	0.000114215	0.239257726	0.015817484	0.220539668	0.115366306	0.009561797	0.00464273	0.032243303	0.246273654
BGC0000087	0.039222214	7.98E-06			0.000148555	0.003387098	0.003223237	1.70E-05		0.000760927		0.0003915	0.010750389			0.008505719	6.32E-08	0.004765893	0.000935444	0.005469981			0.017982968	0.000750364	0.010942621	0.015512687	0.000340671	0.000755281	0.000690278		0.001875865	0.012466981			0.006348542			0.002754708			0.000480066		0.019399824		0.000674689	0.016808746	
BGC0000230	0.013575544	0.002574387	0.00257811	1.23E-05	0.00200863	0.000539543	2.93E-11	0.000528215			0.000762792	1.36E-13	0.002628858			0.001514492	0.010182821		6.27E-08	0.002249311			0.002780608	0.017833224	0.002103259	0.002381676			0.000869031		0.000383842				0.012525374		8.28E-09				0.000507285	0.001276036	0.000309327	6.79E-08	0.003309289	0.001654261	
BGC0000836	0.011856239			0.001976587				9.77E-14	9.97E-08			2.75E-07	0.00159145			5.02E-11		7.78E-14	0.000143925	0.003980713									0.000110922		0.000638071					9.18E-29					1.20E-05	4.55E-09	3.61E-15	3.74E-13			
