Genome_ID	SRR16554624	SRR16554625	SRR16554626	SRR16554627	SRR16554628	SRR16554629	SRR16554630	SRR16554631	SRR16554632	SRR16554633	SRR16554634	SRR16554635	SRR16554636	SRR16554637	SRR16554638	SRR16554639	SRR16554640	SRR16554641	SRR16554642	SRR16554643	SRR16554644	SRR16554645	SRR16554646	SRR16554647	SRR16554648	SRR16554649	SRR16554650	SRR16554651	SRR16554652	SRR16554653	SRR16554654	SRR16554655	SRR16554656	SRR16554657	SRR16554658	SRR16554659	SRR16554660	SRR16554661	SRR16554662	SRR16554663	SRR16554664	SRR16554665	SRR16554666	SRR16554667	SRR16554668	SRR16554669	SRR16554670	SRR16554671	SRR16554672	SRR16554673	SRR16554674	SRR16554675	SRR16554678	SRR16554679	SRR16554680	SRR16554681	SRR16554684	SRR16554686	SRR16554687	SRR16554689	SRR16554691	SRR16554692	SRR16554693	SRR16554694	SRR16554695	SRR16554696	SRR16554697	SRR16554698	SRR16554699	SRR16554700	SRR16554701	SRR16554702	SRR16554703	SRR16554704	SRR16554705	SRR16554706	SRR16554707	SRR16554708	SRR16554710	SRR16554711	SRR16554712	SRR16554713	SRR16554714	SRR16554715	SRR16554716	SRR16554717	SRR16554718	SRR16554719	SRR16554720	SRR16554721	SRR16554722	SRR16554723	SRR16554724	SRR16554725	SRR16554726	SRR16554727	SRR16554728	SRR16554729	SRR16554730	SRR16554731	SRR16554732	SRR16554733	SRR16554734	SRR16554735	SRR16554736	SRR16554737	SRR16554738	SRR16554739	SRR16554740	SRR16554742	SRR16554743	SRR16554744	SRR16554745	SRR16554746	SRR16554747	SRR16554748	SRR16554749	SRR16554750	SRR16554751	SRR16554752	SRR16554753	SRR16554754	SRR16554755	SRR16554756	SRR16554757	SRR16554758	SRR16554759	SRR16554760	SRR16554761	SRR16554762	SRR16554763	SRR16554764	SRR16554765	SRR16554766	SRR16554767	SRR16554768	SRR16554769	SRR16554770	SRR16554771	SRR16554772	SRR16554773	SRR16554774	SRR16554775	SRR16554776	SRR16554777	SRR16554778	SRR16554779	SRR16554780	SRR16554781	SRR16554782	SRR16554783	SRR16554784	SRR16554785	SRR16554786	SRR16554787	SRR16554788	SRR16554789	SRR16554790
BGC0001575	0.872441699	0.22651295	0.522319399	0.363874277	0.423977526		0.006067398	0.698139677	0.005252535	0.076415947	2.19E-28	0.305907989	0.771846674	0.800040832	0.044233435	3.71E-05	0.079296181	0.030586193	0.001774679	0.053515048	0.004472828	0.718067501	0.043118699	0.20812091	0.233850454	0.536999897	0.002150794	0.021998729	0.013835308	0.48050442	0.489070935	0.24985649	0.036616283	0.22940127	0.009248192	0.280261032	0.354577436	2.58E-21	0.165208343	0.045078795	0.079024991	0.009624053	0.02202709	0.136941256	0.147884873	0.268236617	0.011672723	0.13411932	0.218434436	0.27554421	0.004362692	0.004565717	0.70466568	0.434891359	0.774412374	0.550982216	0.926977003	0.110092141	0.006203918	0.852050294	0.624317523	0.479101502	0.2897446	6.39E-13	0.152020144	0.608761192	0.547307308	0.139745129	0.011595847	0.041578748	0.440316999	0.067265663	0.71463335	0.001244145	0.055447295	0.213585255	0.017310958	0.105741275	0.550428882	0.003734291	0.023253285	0.952736825	0.105657543	0.032564643	0.10993664	0.000435425	0.052225005	0.002798359	0.109482366	0.039011631	0.203669209	0.066137126	0.539186996	0.467147521	0.004624377	0.018946714	0.001604001	0.317590634	0.843144336	0.120344403	0.007857554	0.553457251	0.019436825	0.002318095	0.157510374	0.038611548	0.718131733	0.066434436	0.567900641	0.983903621	0.847784858	0.229456934	0.063318242	0.057271212	0.032420618	0.000819229	0.589648783	0.858181762	0.119012581	0.197521837	0.061387281	0.050926338	0.84446384	0.076351256	0.174885622	0.180656445	0.184717606	0.337796879	0.602351352	0.069688351	0.025220439	0.001231508	0.376686606	0.851691625	0.606827137	0.039119601	0.199115774	9.15E-09	0.18778478	0.186169681	0.05531586	0.040159861	0.818552341	0.038707946	0.00315355	0.04762648	0.112140033	0.001584331	0.437354133	0.1265793	0.018406183	0.473155609	0.004767431	0.080010991	0.003791611	0.166628238	0.242786549	0.029292877
BGC0000552	0.03532627						7.32E-05																					0.002899011	0.001483892												0.000223102																								1.53E-05				2.76E-11																																										4.61E-31					1.60E-05																		1.17E-28		0.001760302									0.000190189		3.05E-29											
BGC0001055	0.027042343	0.023299488		0.06284125	0.09851913	0.123886423	0.492542696	0.01164955	0.152708405	1.29E-16	0.186946195	0.378525309	0.009518937	0.042005158	0.025001547	0.277299754	0.00262213	8.75E-05	0.001243659	0.007567337	0.041037048		0.130898515	0.008421524	0.149229392	0.09363147	0.240834433	0.234211249	0.085380381	0.006581386	0.02065825	0.008429716	0.088781906	0.009917258	0.267981659	0.009524946	0.170575317	0.831894735	0.012468851	0.007296017	0.092739208	0.272173981	0.17253208	0.204041379	0.291831851	1.15E-24	0.296278508	0.095681807	0.101309847	0.163985828	0.535214587	0.25349841	2.67E-06		0.053825058	0.011623846	0.004546692	0.021861124	0.599482306	3.10E-17		0.001708725	0.00336514	0.170664018	0.00835532	0.106899097	0.006026935	0.303601382	0.499634134	0.355904093	0.003214313	0.003065494	0.076865041	0.27072753	0.037650301	0.000740496	3.74E-06	0.002592232	0.035263644	0.127483267	0.455846402	0.001069392	0.001312377	1.47E-12	0.00785976	0.224617399	0.038552131	0.266942618	0.125657825	0.004052161	0.131455468	0.0009107	0.082576126	0.005580288	0.001148809	0.000909383	0.223801461	0.233834939	0.000213197	0.570385194	0.461481736		0.01421159	0.039770202	0.059957487	0.031989829	0.0029844	0.00695289	0.058767738	0.00313423	0.074697643	0.001768192	0.012988811	0.009114669	0.32087998	0.009168477	0.053803474			0.005501074	0.035260843	0.011023571	1.67E-05	0.089005772	0.058531746	0.052865994	0.000139464		0.226142822	0.005983115	2.33E-05	0.088705126	0.019374953	0.000217152	0.09591454	0.029788154	0.031108279	0.007357499	0.002925592		0.013671019	0.645744394	0.005008835	0.000262249	0.416760401	0.008078236	0.129475296	0.391577534	0.001229379	0.569893901	0.043590471	3.83E-09		0.001161565	0.078697423	0.000362182	0.001133616	0.277348102
BGC0001654	0.026226722	0.740456337	0.135391569	0.142221145	0.080114291	0.015522762	0.006953306		0.009319788	0.814195697	0.033906947		0.042349336	0.001986187			0.206490062	0.264594269	0.996017779	0.137904885	0.034077783	0.247864597		0.768064554	0.23403092		0.043728062	0.228584963	0.01882115	0.146454862	0.074740054	0.691694382	0.137305261	0.728096021	0.191428836	0.695224034	0.209365155		0.743799188	0.778485707	0.055418946	0.045950061	0.033319907	0.004311956		0.731763209	0.324665755	0.220017521	0.050006506	0.419736861	0.012944229	0.000199612	0.002525429	0.191482041		0.361510541	0.023324466	0.300447404	0.004349885	0.064523806	0.375682182	0.003956335	0.305283711		0.541249731	0.24461561	0.420973531	0.029535588		0.114661039	0.437110074	0.296282164	0.082420903	0.000569062	0.574375118	0.032825938	0.449057474	0.039145101	0.2358745	0.137209974			0.450011518	0.167178488	0.872844862	0.009725964	0.001011479	0.040504217	0.128978135		0.218571697			0.357331473	0.679785819	0.869217476	0.00074336		0.144427469	0.068095888		0.44438719	0.132596458	0.381669578	0.05944548	0.272846081	0.275742788	0.868887253	0.30760714	0.000782306	0.005662424	0.093194694	0.658902596	0.6588647	0.000231297	0.000554438	0.026293575	0.112859116	0.036830144	0.766106039	0.044130326	0.51478517	0.150650021	0.152390979	0.008431266	0.522815259	0.80505868	0.261947471		0.92428592	0.753846522	0.600356627	0.572079858	0.020716988	0.003770074	0.00692713	0.348067754	0.974586823	0.616879286	0.813818971	0.001446466	0.240521485		0.573057881	0.007842077	0.196756254	0.057975258	0.077890522	0.549667828	0.115748864	0.045893427	0.163861002	0.009474378	0.159182524	0.048411062	0.81761935	0.663051753	0.089082747
BGC0000776	0.026219824			0.030496994	0.025242691		0.140823754	0.001443786	0.014995121	4.30E-10	0.093985057	0.043695886	4.41E-09	4.17E-24	0.005594558	0.002339217	0.003910288	0.000137532	0.000939157	0.010301404	0.030413671	0.000191625	0.027568139	0.002692913	0.017486905	0.028117253	0.086584043	0.02891804	0.033041644		0.017442936	0.001366345	0.008499583	0.003551908	0.032957927	0.001334197	0.008858605		0.001909524		0.019898744	0.024301448	0.03245498	0.026565009	0.029046998		0.039370411	0.040948444	0.000926666	0.014246898	0.009574921	0.031862169	0.005144378					0.02439269	0.073590644					0.077256667	0.002790799	0.032655787			0.049813682	0.018168565		0.00011611	0.002361466	0.051985382	0.034619856	0.005676988			0.013579698	0.019115501	0.054572633	0.000965979	0.000265065	1.74E-33	3.55E-05	0.038645301	0.000513082	3.02E-12	0.015827773	0.00383618	0.017384967	0.00019301	0.065376819				0.05115001	0.003810451		0.103510195	0.041868157	1.93E-05	0.000329655	0.033469111	0.017952171	0.027930523		0.003791041		0.010879702	0.003220169	0.000580874	0.003129866	0.000655112	0.016091137	0.013987856				2.11E-06	0.018930559	0.000796433		0.000715496	0.031070202		4.54E-05	0.005980675	0.059598883			0.028854595	6.69E-05	0.002331611	0.043743558	0.046830229	0.009175519	0.000187814				0.002919645		0.000398754	0.036659901	0.00361822	0.053557668	0.147706061	1.10E-16	0.122496824	0.044329475	2.34E-11		0.001038308	0.052862491		0.000127201	0.072609318
BGC0000547	0.005939155	0.00016041	9.90E-06	0.000248181	5.59E-05		4.93E-05	0.001157796	1.58E-06	3.79E-05	3.78E-06		5.62E-05	3.98E-27	0.000316629	8.50E-06	0.000667094	5.71E-05			4.28E-15		6.28E-08	4.79E-07		9.62E-11	1.44E-06	0.000158774	0.000105113	1.38E-05	0.000455936	5.52E-07	1.46E-05	0.001206356	0.00102533	3.65E-05			0.020705453	5.40E-08	2.58E-05	1.23E-08	2.77E-07	0.002275134	9.54E-05	1.07E-07	1.98E-06	0.002143595			1.18E-29	4.10E-09	0.000123452	1.22E-07	3.26E-11	9.79E-07		0.001748359	4.09E-10	3.71E-13	6.07E-11	5.27E-09	1.46E-10	6.08E-06	3.00E-06			2.16E-07	0.000492186	1.63E-28	1.14E-08	0.001233485	1.50E-06	2.51E-09	1.37E-07	0.099896411	1.25E-07	9.45E-11	2.74E-07	7.36E-05	3.41E-08	0.032627864	4.35E-05	0.003170851		9.49E-05	5.59E-08	2.02E-30	9.55E-12	2.48E-09	9.15E-10				2.48E-09		1.86E-05		0.000412519	2.58E-09	3.15E-30	9.11E-09	6.44E-12	0.003988687	4.61E-08	2.21E-07	2.69E-07	1.21E-05	0.00011816	1.70E-09	2.33E-08	2.72E-08	0.000996017	1.23E-07	3.45E-14	2.24E-05	1.59E-05			1.25E-05	3.51E-05	2.05E-06	2.74E-09		0.038124572	0.000172445		0.000420521	2.91E-10	9.62E-08	0.047318154	1.90E-10	2.01E-06	0.000716798	2.58E-09	3.85E-08	0.069279437	3.53E-07	0.006135084		2.53E-09	3.49E-05	8.17E-10		1.58E-07	0.001872546	0.007706213	0.00093413	6.21E-27	0.000147526	0.000874668	0.004508931	0.001010659	0.001426913	5.89E-10		0.003797798	1.42E-06
BGC0001555	0.003387782	2.93E-08	3.67E-06	0.022820283	0.095085475	4.56E-12	0.140483878	0.007352709	0.234251699	0.016249625	0.09578054	0.139322275	0.028944441	0.084582762	0.004394538	0.265872418	0.011279896	0.003617166		0.0457241	0.628338954	0.000517453	0.030399072	0.004341462	0.007678146	0.329962877	0.087368622	0.215476694	0.37335049	0.0004656	0.289796864	0.001482885	0.087709173	0.007852107	0.101615353	0.001621479	0.19331587	0.168051733	0.018390301	0.006935534	0.260420268	0.368767847	0.035331466	0.524392848	0.450386119	1.38E-12	0.271740467	0.071046632	0.165354176	0.042612565	0.371420481	0.296862426	0.28742781	0.001515928	0.037974902	0.019572194	0.029768239	0.018299399	0.202976418	3.92E-25		2.74E-05	0.003284356	0.514518056	0.024793019	0.001104201	0.010831469	0.259432639	0.170751134	0.198898166	0.003533296	0.000199662	0.037057536	0.548318558	0.163156272	0.036271482	4.31E-09	0.000307065	0.057488949	0.662258845	0.31788364	0.000723031	0.002258021	0.003453973	0.002926986	0.059947621	0.008399665	0.131540943	0.089246824	0.028614767	0.075735616	2.54E-06	0.060538895	0.153328578	0.041364365	0.079235442	0.08575766	0.161688701	0.000129952	0.100246496	0.179654916	2.19E-10	0.083586054	0.351449116	0.023178346	0.276655341	0.000618159	0.031801575	0.037178515	1.48E-06	0.04194466	0.005667754	0.002128661	0.004705481	0.400919008	0.085470557	0.002726434				0.59312236	1.78E-08	0.000569466	0.068337405	0.582536645	0.027920657	3.13E-24	8.21E-05	0.082399111		0.04811961	0.004993792	0.015991749	0.010323184	0.09947014	0.592322027	0.025633498	0.00925782	0.005769211		0.000185592	0.013678559	3.44E-06	0.00098683	0.424820614	0.000318901	0.044856216	0.22686122	0.002109381	0.014603482	0.445400249	0.264765365	1.03E-06	0.000708334	0.512550628	0.005097543	0.038405498	0.119012803
BGC0000308	0.001415068																												0.011522739																																																			1.84E-06																																																				0.000179965																										
BGC0000624	0.001017292						3.02E-15									0.168278322													0.0177479												0.008966271																												0.000627505																			1.69E-09																												7.05E-05																					0.029707299								0.002190974	0.001660563	0.00140821							0.000889623	8.19E-10			
BGC0000794	0.000445776																																																																																																																																																													
